playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesFgepOffense,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepDefense,gradesLongSnap,gradesKickoffKicker,gradesKickReturn,gradesPuntReturn,gradesFgepKicker,gradesPunter
78134,Tory Spears,S,0,0,,2025,314,,60,61.1,D12,0,0,1,0,1,0,0,0,0,0,TEXAS ST,TEXAS ST,1,60,,,,,,
78169,DaShon Bussell,CB,0,0,,2025,347,,60,64.5,D00,0,0,1,0,2,0,0,0,0,0,W MICHIGAN,W MICHIGAN,2,59.8,,,,,,
78573,Solomon Vanhorse,HB,0,0,,2026,190,,42.1,69.5,18,0,0,1,0,0,8,5,1,3,0,INDIANA,INDIANA,17,,,,58,,,
79240,Cherif Seye,ED,0,0,,2025,324,,60,61.7,D94,0,0,1,0,1,0,0,0,0,0,UCLA,UCLA,1,60,,,,,,
81249,Jayden McDonald,LB,0,0,,2025,146,,61.2,65.4,D10,0,0,1,0,4,0,0,0,2,0,UCONN,UCONN,6,60,,,,,,
81284,Jared Small,LB,0,0,,2026,109,,61,66,D40,0,0,1,0,0,4,5,0,0,0,ARIZONA,ARIZONA,9,,,,,,,
81514,Brennen Milliron,LS,0,0,,2025,296,60,60.1,63.9,S39,0,0,1,2,0,0,0,7,0,0,SO MISS,SO MISS,9,,58.3,,,,,
81559,Spencer Lovell,G,0,0,,2025,239,60.8,61.6,62.1,76,0,0,1,5,0,0,0,0,0,0,NEVADA,NEVADA,5,,,,,,,
81809,Joe More,C,0,0,,2025,111,60,60.7,62.3,78,0,0,1,4,0,0,0,0,0,0,ARKANSAS,ARKANSAS,4,,,,,,,
81860,Tank Jenkins,G,0,0,,2025,182,61.5,62,67.2,72,0,0,1,6,0,0,0,0,0,0,HOUSTON,HOUSTON,6,,,,,,,
82408,Maurice Strong Jr.,DI,0,0,,2025,288,,59.8,65.3,D55,0,0,1,0,4,0,0,0,2,0,S ALABAMA,S ALABAMA,6,58.9,,,,,,
82560,Raymond Scott,LB,0,0,,2025,197,,60.5,65.3,D01,0,0,1,0,0,3,0,3,0,0,JAMES MAD,JAMES MAD,6,,,,,,,
82562,Solomon Tuliaupupu,ED,0,0,,2027,326,,60,61.8,D58,0,0,1,0,1,0,0,0,0,0,USC,USC,1,59.7,,,,,,
82597,Kenneth Almendares,K,0,0,,2025,207,,60.3,67.9,S45,0,0,1,5,0,6,0,0,0,0,LA LAFAYET,LA LAFAYET,11,,,68.5,,,66.9,
82646,Ale Kaho,LB,0,0,2025,2025,324,,60,62,D10,0,0,1,0,5,0,0,0,0,0,UCLA,UCLA,5,59.9,,,,,,
83314,Jarvis Ware,CB,0,0,,2025,325,,60,63.6,D13,0,0,1,0,1,0,0,0,0,0,UNLV,UNLV,1,60,,,,,,
83315,Chris Mills,CB,0,0,,2025,314,,60,64.5,D07,0,0,1,0,2,0,0,0,0,0,TEXAS ST,TEXAS ST,2,60,,,,,,
83821,Fa'Najae Gotay,LB,0,0,,2025,115,,60,64.9,D38,0,0,1,0,0,0,1,0,0,0,AUBURN,AUBURN,1,,,,,,,
83825,Bryan Addison,S,0,0,,2025,324,,60,61.7,D04,0,0,1,0,5,0,0,0,0,0,UCLA,UCLA,5,59.9,,,,,,
83838,Armani-Eli Adams,S,0,0,,2025,347,,68,71.5,D30,0,0,1,0,1,6,0,0,0,1,W MICHIGAN,W MICHIGAN,7,60,,,,,,
83944,Tyneil Hopper,TE,0,0,,2025,223,60,60,66.6,88,0,0,1,2,0,0,6,0,0,0,MICH STATE,MICH STATE,8,,,,,,,
86077,Kitione Tau,DI,0,0,,2026,239,,60,64.7,D52,0,0,1,0,0,0,0,0,1,0,NEVADA,NEVADA,1,,,,,,,
86082,Jacob Bandes,DI,0,0,,2025,340,,59.5,64.1,D55,0,0,1,0,3,0,0,0,1,0,WASHINGTON,WASHINGTON,4,59,,,,,,
86267,Kalib Perry,LB,0,0,,2027,307,,57.2,69.1,D08,0,0,1,0,0,3,0,2,4,0,TENNESSEE,TENNESSEE,9,,,,,,,
86489,Alex Moore,T,0,0,,2025,101,60,60.6,63.1,76,0,0,1,1,0,0,0,6,0,0,AIR FORCE,AIR FORCE,7,,,,,,,
86527,Rodney Robinson,S,0,0,,2025,120,,64.8,66.8,D04,0,0,1,0,2,10,0,0,0,0,BOISE ST,BOISE ST,12,59.9,,,,,,
86538,Chase Penry,WR,0,0,,2026,120,,60,65.5,13,0,0,1,0,0,0,1,0,0,0,BOISE ST,BOISE ST,1,,,,,,,
86729,Ozzie Nicholas,LB,0,0,,2025,154,,60.6,62.7,D45,0,0,1,0,4,0,0,0,1,0,DUKE,DUKE,5,60,,,,,,
86877,Ceyair Wright,CB,0,0,2026,2026,238,,60.4,65.4,D15,0,0,1,0,2,0,0,0,1,0,NEBRASKA,NEBRASKA,3,60,,,,,,
87618,Logan Taylor,LB,0,0,,2026,180,,61.7,68.7,D16,0,0,1,0,3,5,6,0,0,0,HAWAII,HAWAII,14,59.9,,,,,,
88453,Dylan Brown,DI,0,0,,2025,196,,59.2,63.7,D54,0,0,1,0,4,0,0,1,0,0,JVILLE ST,JVILLE ST,5,59.1,,,,,,
88924,Josh Simmons,T,0,0,2025,2025,260,60,61.5,67.8,71,0,0,1,5,0,0,0,0,0,0,OHIO STATE,OHIO STATE,5,,,,,,,
90079,David Reese,ED,0,0,,2026,130,,59.3,63.1,D07,0,0,1,0,4,0,0,0,0,0,CAL,CAL,4,59.2,,,,,,
