playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesOffense,gradesOffensePenalty,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesHandsFumble,gradesPassBlock,gradesPassRoute,gradesPass,gradesRun
90626,Beau Gardner,LS,0,2026,2026,173,60,60,,S60,0,1,0,1,0,0,0,1,1,0,GEORGIA,GEORGIA,,63.8,,,
90875,Hudson Mesa,C,0,,2026,285,56.3,54.8,61,60,2,8,0,151,0,0,75,226,151,75,S JOSE ST,S JOSE ST,,46,,,
97105,Cam Ross,WR,0,2026,2026,335,70,61.8,49.5,06,2,13,0,1,329,1,185,516,330,186,VIRGINIA,VIRGINIA,85.5,62.1,71.1,,69.4
97171,Alante Brown,WR,0,,2027,223,55,66.7,,00,0,2,0,0,3,0,0,3,3,0,MICH STATE,MICH STATE,66.6,,56.4,,
97204,Juwaun Price,HB,0,,2026,216,57.2,79.7,54.5,28,0,12,0,30,56,29,8,123,86,37,UMASS,UMASS,79.1,37.3,41.8,,64.2
97303,Enoch Nawahine,HB,0,,2026,128,58.9,81.1,37.7,21,0,9,1,27,51,26,48,153,79,74,BYU,BYU,78.2,78.9,52,60.4,66.1
97321,Ryan Davis,WR,0,,2026,328,75.3,87.2,57.6,09,1,12,0,1,301,0,314,616,302,314,UTAH,UTAH,50.1,54.4,76.6,,
97403,John Emery Jr.,HB,0,,2026,331,58.9,68.8,,14,0,1,0,0,1,4,0,5,1,4,UTSA,UTSA,68.6,,59.9,,59.2
97427,Devin Voisin,WR,1,,2026,288,71.8,88.4,45.6,01,4,12,0,1,353,0,413,767,354,413,S ALABAMA,S ALABAMA,82.9,66.1,75.5,,
97517,Marvae Myers,CB,0,,2026,214,60,60,60,D03,6,1,0,0,0,0,1,1,0,1,MARSHALL,MARSHALL,,,,,
97582,Logan Lupo,K,0,,2026,165,60,70.3,60,S19,0,1,0,0,0,0,1,1,0,1,FAU,FAU,,,,,
97796,Michael Johnson Jr.,QB,0,,2026,102,60.3,79,60.2,15,1,9,35,0,4,19,36,94,39,55,AKRON,AKRON,48,,56.6,60.3,59.5
97804,Dequan Finn,QB,0,,2026,221,71.8,60.4,60,01,4,8,228,0,1,67,162,458,229,229,MIAMI OH,MIAMI OH,73.7,,60,67.4,69.7
97813,Donavon Greene,WR,0,,2026,337,59,28,78.2,03,2,9,0,0,244,0,186,430,244,186,VA TECH,VA TECH,69.5,,56.8,,
98006,Zach Calzada,QB,0,,2026,202,46.5,79.7,60,05,1,3,69,0,0,10,60,139,69,70,KENTUCKY,KENTUCKY,73.5,,,41.7,63.2
98014,Jacob Zeno,QB,0,,2026,312,62,71.2,60,09,0,1,5,0,0,0,8,13,5,8,TEXAS A&M,TEXAS A&M,63.8,,,61.1,
98061,Jack Bailey,C,0,,2026,256,61.5,74.4,58.1,69,0,1,0,9,0,0,6,15,9,6,NWESTERN,NWESTERN,,81.1,,,
98070,Tyler Brown,G,0,,2027,143,72.4,70.6,70.5,56,0,1,0,0,0,0,5,5,0,5,COLORADO,COLORADO,,,,,
98082,Demetris Allen,G,0,,2026,331,35.2,0,39.2,73,4,8,0,76,0,0,66,142,76,66,UTSA,UTSA,,55.5,,,
98229,Vic Cutler,G,0,,2026,210,49.1,77.7,44.6,59,0,5,0,19,0,0,26,45,19,26,LOUISVILLE,LOUISVILLE,,83.8,,,
98239,Zion Nelson,T,0,,2026,287,74.8,79.3,70.8,60,0,5,0,65,0,0,48,113,65,48,SMU,SMU,,76,,,
98255,Jax Harrington,T,0,,2026,207,72.8,89.2,70.9,70,0,13,0,423,0,0,431,854,423,431,LA LAFAYET,LA LAFAYET,,68.9,,,
98371,Brett Seither,TE,0,,2026,176,58.3,55.6,52.9,80,2,12,0,24,141,0,103,268,165,103,GA TECH,GA TECH,68.2,60.8,61.2,,
98396,Julius Pierce,C,1,,2026,166,59.6,61.9,57.5,65,5,13,0,495,0,0,383,878,495,383,FIU,FIU,,64.8,,,
98490,Jayme Motley-Simmons,T,0,,2026,102,62.3,83,61.7,77,2,8,0,137,0,0,110,247,137,110,AKRON,AKRON,,58.2,,,
98550,Adrian Medley,G,0,,2026,167,65.2,77.5,65.9,76,1,12,0,373,0,0,350,723,373,350,FLORIDA ST,FLORIDA ST,,58.1,,,
99041,Jakai Moore,T,1,,2026,245,68.9,66.6,64.8,55,2,12,0,416,2,0,260,678,418,260,N CAROLINA,N CAROLINA,,72.4,55.8,,
99437,Taylor Poitier,G,0,,2026,199,66.3,77.2,63.8,69,3,12,0,353,0,0,305,658,353,305,KANSAS ST,KANSAS ST,,72,,,
99476,Maverick McIvor,QB,0,,2026,346,73.2,86.5,60.2,07,1,8,314,0,1,20,162,497,315,182,W KENTUCKY,W KENTUCKY,62,,54.3,72.1,63.5
99481,Tony Mathis Jr.,HB,0,,2026,214,51.6,74.4,56.7,24,0,4,0,2,5,8,9,24,7,17,MARSHALL,MARSHALL,71.9,73.2,55.7,,53.5
99695,Justin Olson,WR,0,,2026,136,63.1,79,48.4,04,0,2,1,0,30,0,26,57,31,26,CHARLOTTE,CHARLOTTE,63.7,,61.4,75.8,
99809,Rico Watson III,ED,0,,2026,327,60.6,77.5,60,D34,4,3,0,2,0,0,1,3,2,1,USF,USF,,88.4,,,
100201,Zach Gibson,QB,0,,2026,165,50,78.1,60,07,0,6,60,0,0,2,32,94,60,34,FAU,FAU,43.5,,,54.4,38.1
100221,PaSean Wimberly,HB,0,,2026,122,70.3,75.1,60,30,0,4,0,1,14,8,1,24,15,9,BOWL GREEN,BOWL GREEN,71.9,72.2,53.4,,73.9
100253,Broderick Roman,C,2,,2027,296,64.3,21,63.7,67,11,13,0,543,0,0,400,943,543,400,SO MISS,SO MISS,,76.2,,,
100263,Xavior Gray,T,0,,2026,256,72.3,73.6,75.3,63,0,3,0,8,0,0,19,27,8,19,NWESTERN,NWESTERN,,39.2,,,
100432,Siale Taupaki,DI,0,,2027,324,71.4,68.4,87.4,D92,1,2,0,0,0,0,4,4,0,4,UCLA,UCLA,,,,,
100518,Ben Coleman,C,0,,2026,110,68.1,48.8,63.2,62,2,6,0,210,0,0,171,381,210,171,ARIZONA ST,ARIZONA ST,,84.1,,,
100658,Hudson Habermehl,TE,0,,2026,324,45.5,86.9,46.7,81,0,12,0,46,228,0,174,448,274,174,UCLA,UCLA,26.3,69.9,45.3,,
100835,Oscar Adaway III,HB,0,,2026,289,58.7,81.3,61.9,27,0,11,0,13,100,42,27,182,113,69,S CAROLINA,S CAROLINA,81.1,16.9,51.2,,63.2
101126,Christian Helms,WR,0,,2026,327,61.1,76.2,57.3,85,0,3,0,0,10,0,20,30,10,20,USF,USF,63.6,,61.4,,
101579,Matthew Bedford,G,0,,2026,264,75.4,79.8,76,77,1,6,0,29,0,0,53,82,29,53,OREGON,OREGON,,64.1,,,
101625,Ta'Quan Roberson,QB,0,,2026,126,58.6,60.6,60.1,02,6,11,429,0,0,32,238,699,429,270,BUFFALO,BUFFALO,30.3,,,58.1,59.3
101628,Jacob Clark,QB,0,2026,2026,230,78.5,71.5,60.1,12,3,12,492,0,2,18,242,754,494,260,MO STATE,MO STATE,74.2,,81.4,77.6,60.9
102273,Pat McMurtrie,T,0,,2026,197,70.1,71.4,64.6,76,4,14,0,390,0,0,454,844,390,454,JAMES MAD,JAMES MAD,,76.7,,,
102309,Jordan Hall,G,0,,2026,319,60.7,34,58.5,50,7,14,0,365,0,0,347,712,365,347,TULANE,TULANE,,71,89.8,,
102324,Keagen Trost,T,0,2026,2026,229,92,63.7,91.4,79,4,13,0,432,0,0,459,891,432,459,MISSOURI,MISSOURI,,85.4,,,
103865,Evan Beerntsen,G,0,2026,2026,256,79.3,69.7,81.3,60,5,13,0,428,0,0,404,832,428,404,NWESTERN,NWESTERN,,74.4,,,
103979,Jobi Malary,HB,0,,2026,197,90,0,63.2,28,1,9,0,8,18,43,28,97,26,71,JAMES MAD,JAMES MAD,81.3,79,51.4,,90.4
103994,Dontae McMillan,HB,0,2026,2026,160,78.5,86.4,49.1,28,0,12,0,57,241,183,86,567,298,269,E MICHIGAN,E MICHIGAN,83.7,61.4,69.2,,80.9
104082,Marcus Bellon,WR,0,,2026,239,59.7,84.6,64.4,18,0,10,2,0,204,3,129,338,206,132,NEVADA,NEVADA,58.4,,58.4,52.4,67
104560,Noah Holmes,LB,0,,2026,156,60,60,60,D25,0,2,0,1,0,0,1,2,1,1,E CAROLINA,E CAROLINA,,63.8,,,
104638,Ryan Joyce,C,0,,2026,263,64,51.1,59.8,65,5,13,0,390,0,0,457,847,390,457,DOMINION,DOMINION,,81.4,,,
104742,Ellis Adams,G,0,,2026,224,62,86.2,59,71,2,11,0,345,0,0,140,485,345,140,MIDDLE TN,MIDDLE TN,,61.4,,,
104768,Joe Fagnano,QB,0,2026,2026,146,86.9,89.2,60.4,02,0,12,477,0,4,20,303,804,481,323,UCONN,UCONN,67.6,,47.3,81.9,80.2
104901,Marcus Velez,TE,0,,2026,126,57.8,86.4,67.3,19,0,12,0,47,124,0,193,364,171,193,BUFFALO,BUFFALO,66.7,64.7,50.7,,
108560,Michael Flores,G,0,,2026,210,51.6,0,53,51,1,6,0,15,0,0,31,46,15,31,LOUISVILLE,LOUISVILLE,,81.8,,,
109364,Luke Painton,T,2,,2026,216,50.4,43.2,67.1,72,4,8,0,282,0,0,159,441,282,159,UMASS,UMASS,,29.9,,,
111094,Sean Brown,WR,0,,2026,136,78,86,59.2,08,1,12,0,0,236,0,151,387,236,151,CHARLOTTE,CHARLOTTE,72.6,,78.3,,
116043,Tra Thomas,ED,0,,2026,248,60,60,60,D04,1,1,0,0,0,0,1,1,0,1,NC STATE,NC STATE,,,,,
121358,Ethan Myers,LS,0,,2026,227,60,60,60,S45,0,3,0,0,0,0,3,3,0,3,MISS STATE,MISS STATE,,,,,
121392,Myles Kitt-Denton,WR,0,,2026,284,58.5,76.1,61.3,20,0,4,0,0,7,0,26,33,7,26,S DIEGO ST,S DIEGO ST,61,,57.6,,
