playerId,player,position,targets,interceptionTouchdowns,draftSeason,forcedFumbles,missedTackles,catchRate,teamName,tackles,jerseyNumber,snapCountsOffball,snapCountsBox,sacks,snapCountsPassRush,playerGameCount,eligibleSeason,snapCountsDl,gradesTackle,yards,receptions,gradesCoverageDefense,hurries,interceptions,snapCountsCoverage,snapCountsDlOverT,snapCountsDlAGap,fumbleRecoveries,gradesRunDefense,snapCountsCorner,hits,penalties,battedPasses,team,stops,declinedPenalties,totalPressures,fumbleRecoveryTouchdowns,longest,snapCountsSlot,missedTackleRate,gradesDefense,yardsPerReception,gradesDefensePenalty,safeties,franchiseId,snapCountsDefense,yardsAfterCatch,snapCountsDlBGap,passBreakUps,qbRatingAgainst,snapCountsRunDefense,tacklesForLoss,assists,snapCountsFs,touchdowns,snapCountsDlOutsideT,gradesPassRushDefense
171283,Ethan McDowell,ED,0,0,,0,0,,MERCER,0,D14,0,0,0,0,1,2028,2,,0,0,,0,0,0,0,0,0,60,0,0,0,0,MERCER,0,0,0,0,,0,,60,,67.8,0,219,2,0,0,0,0,2,0,0,0,0,2,
171935,Jake Mason,ED,0,0,,0,0,,MONTANA,2,D57,0,0,0,16,1,2028,31,73.9,0,0,58.3,2,0,2,9,0,0,72.3,0,0,0,0,MONTANA,2,0,2,0,,0,0,63.4,,75.9,0,232,31,0,10,0,0,13,0,0,0,0,12,57.3
172087,Jadin Nelson,DI,0,0,,0,0,,LEHIGH,2,D54,0,0,0,18,1,2028,33,72.4,0,0,,0,0,0,0,0,0,77.8,0,0,0,0,LEHIGH,1,0,0,0,,0,0,70.7,,74.9,0,205,33,0,33,0,0,15,1,0,0,0,0,55.3
172089,William Parton,LB,0,0,,0,1,,LEHIGH,2,D10,48,38,0,0,1,2028,0,51.6,0,0,67.2,0,0,24,0,0,0,77.9,0,0,0,0,LEHIGH,1,0,0,0,,10,20,74.6,,77,0,205,48,0,0,0,0,24,1,2,0,0,0,
172091,Aidan Singleton,CB,5,0,,0,0,60,LEHIGH,4,D05,55,8,0,0,1,2028,0,79.1,37,3,56.9,0,0,31,0,0,0,74.9,47,0,0,0,LEHIGH,2,0,0,0,16,0,0,61.4,12.3,75.4,0,205,55,3,0,1,82.9,24,0,0,0,0,0,
172193,Deaubry Hood,CB,0,0,,0,0,,TARLETON,0,D31,1,0,0,0,1,2028,0,,0,0,,0,0,0,0,0,0,60,0,0,0,0,TARLETON,0,0,0,0,,0,,60,,60,0,401,1,0,0,0,0,1,0,0,0,0,0,
172679,Julian Fox,LB,2,0,,0,0,50,MERCER,12,D10,46,46,0,0,1,2029,1,85.9,0,1,72.3,0,0,12,0,0,0,80,0,0,0,0,MERCER,7,0,0,0,0,0,0,82.4,0,73.8,0,219,47,1,0,0,56.3,35,2,2,0,0,1,
172689,Donovan Watkins,CB,4,0,,0,0,50,MERCER,3,D04,57,16,0,0,1,2029,0,79.8,71,2,54,0,0,17,0,0,0,62.8,31,0,1,0,MERCER,0,0,0,0,66,10,0,53.5,35.5,0,0,219,57,34,0,2,135.4,40,0,1,0,1,0,
172921,Chris Herpin,DI,0,0,,0,0,,ABILENE CH,1,D93,0,0,0,34,1,2028,62,73,0,0,,1,0,0,2,19,0,68.9,0,0,0,0,ABILENE CH,1,0,1,0,,0,0,65.6,,78.3,0,100,62,0,41,0,0,28,1,2,0,0,0,57.6
173016,Bryce Parker,WR,0,0,,0,0,,TARLETON,0,10,1,0,0,0,1,2028,0,,0,0,,0,0,0,0,0,0,60,0,0,0,0,TARLETON,0,0,0,0,,0,,60,,60,0,401,1,0,0,0,0,1,0,0,0,0,0,
173050,Michael Patterson III,CB,3,0,,0,0,33.3,STF AUSTIN,1,D19,44,9,0,2,1,2028,1,78,9,1,69.7,0,0,29,0,0,0,65.7,0,0,1,0,STF AUSTIN,0,0,0,0,9,35,0,69.9,9,77.6,0,301,45,11,0,1,42.4,14,0,1,0,0,1,58.8
173152,Javeon Wilcox,S,0,0,,0,0,,ABILENE CH,0,D22,4,0,0,0,1,2028,0,,0,0,61.2,0,0,4,0,0,0,,0,0,0,0,ABILENE CH,0,0,0,0,,0,,61,,69.8,0,100,4,0,0,0,0,0,0,0,4,0,0,
173221,West Wilson,LB,0,0,,0,0,,ABILENE CH,0,D40,1,1,0,0,1,2028,0,,0,0,,0,0,0,0,0,0,60,0,0,0,0,ABILENE CH,0,0,0,0,,0,,60,,62.1,0,100,1,0,0,0,0,1,0,0,0,0,0,
173632,Isaiah Crawford,ED,0,0,,0,0,,ABILENE CH,0,D46,0,0,0,3,1,2028,6,,0,0,,0,0,0,0,0,0,61.2,0,0,0,0,ABILENE CH,0,0,0,0,,0,,60.7,,72.3,0,100,6,0,0,0,0,3,0,0,0,0,6,58.2
174172,Ashton Paine,S,0,0,,0,0,,S DAKOTA,2,D07,25,4,0,0,1,2028,0,79.6,0,0,67.1,0,0,19,0,0,0,60,0,0,0,0,S DAKOTA,0,0,0,0,,0,0,66.8,,74.1,0,291,25,0,0,0,0,6,0,0,21,0,0,
174410,Jaylin Crumby,S,1,0,,0,0,100,N DAK ST,6,D06,43,12,0,0,1,2029,0,84.3,4,1,67.5,0,0,27,0,0,0,53.5,0,0,0,0,N DAK ST,1,0,0,0,4,6,0,64.4,4,76.4,0,250,43,0,0,0,83.3,16,0,0,25,0,0,
174412,Jailen Duffie,CB,2,0,,0,0,50,N DAK ST,4,D02,43,4,0,0,1,2028,0,79.9,8,1,59.5,0,0,24,0,0,0,78,38,0,0,0,N DAK ST,2,0,0,0,8,0,0,64.9,8,75,0,250,43,0,0,0,100,19,1,0,1,1,0,
174416,Victor Isele,ED,0,0,,0,0,,N DAK ST,1,D97,0,0,0,7,1,2029,13,72.2,0,0,70.5,0,0,2,0,0,0,60.1,0,0,0,0,N DAK ST,1,0,0,0,,0,0,67.5,,74.1,0,250,13,0,0,0,0,4,0,0,0,0,13,55.5
174434,Keenan Wilson,DI,0,0,,0,0,,N DAK ST,6,D58,0,0,0,40,1,2029,60,76.1,0,0,60,1,0,0,4,7,0,82.5,0,1,0,0,N DAK ST,3,0,2,0,,0,0,78.3,,77.5,0,250,60,0,49,0,0,20,0,0,0,0,0,64.6
174537,Dontay Bishop,DI,0,0,,0,0,,RHODE ISLD,2,D56,1,1,0,13,1,2028,22,72.2,0,0,60,0,0,0,0,7,0,61.8,0,0,0,2,RHODE ISLD,0,0,0,0,,0,0,68.2,,74.5,0,274,23,0,14,0,0,10,0,0,0,0,1,68.7
174540,Patrick Conserve,DI,0,0,,0,0,,RHODE ISLD,0,D51,0,0,0,26,1,2028,44,70.2,0,0,,0,0,0,4,6,0,56.5,0,0,0,0,RHODE ISLD,0,0,0,0,,0,0,54.5,,76,0,274,44,0,34,0,0,18,0,1,0,0,0,54.2
174542,D.J. Cureton,S,2,0,,0,0,50,RHODE ISLD,3,D19,46,10,0,2,1,2028,2,82.1,67,1,40.1,0,0,29,0,0,0,66.2,0,0,0,0,RHODE ISLD,0,0,0,0,67,3,0,45.8,67,79.6,0,274,48,24,0,0,95.8,17,0,1,33,0,2,57.6
