playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesFgepOffense,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepDefense,gradesPuntReturn,gradesKickoffKicker,gradesFgepKicker,gradesKickReturn,gradesPunter,gradesLongSnap
176780,Jacob Trimble,WR,0,0,,2027,233,,60,63.5,04,0,0,1,0,0,0,3,0,0,0,MONTANA ST,MONTANA ST,3,,,,,,,
176843,Nick Afato,LB,0,0,,2028,322,,61.5,68.2,D44,0,0,1,0,0,1,4,3,3,0,UC DAVIS,UC DAVIS,11,,,,,,,
176845,Trent Carrade,DI,0,0,,2028,322,,92.7,65.2,D90,0,0,1,0,3,0,0,0,2,0,UC DAVIS,UC DAVIS,5,91.1,,,,,,
176847,Jordan Fisher,HB,0,0,,2028,322,,60.5,65.5,20,0,0,1,0,0,0,0,0,3,0,UC DAVIS,UC DAVIS,3,,,,,,,
176848,William Fowler,S,0,0,,2028,322,,62.3,70.7,D12,0,0,1,0,0,8,4,0,3,0,UC DAVIS,UC DAVIS,15,,,,,,,
176850,Sam Goligoski,ED,0,0,,2028,322,,60.7,66.8,D31,0,0,1,0,3,0,1,3,2,0,UC DAVIS,UC DAVIS,9,59.9,,,,,,
176860,Ian Simpson,TE,0,0,,2026,322,,59.4,64.8,00,0,0,1,0,0,0,1,3,0,0,UC DAVIS,UC DAVIS,4,,,,,,,
176863,Boston Stovall,CB,0,0,,2028,322,,62.4,66.7,D19,0,0,1,0,0,7,0,0,3,0,UC DAVIS,UC DAVIS,10,,,,,,,
177112,Patrick Bauer,LB,0,0,,2028,188,,60,61.5,D13,0,0,1,0,2,0,0,0,0,0,ILL STATE,ILL STATE,2,60,,,,,,
177114,Anthony Corona,LB,0,0,,2028,188,,60,63.4,D35,0,0,1,0,0,0,0,1,0,0,ILL STATE,ILL STATE,1,,,,,,,
