playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesHandsFumble,gradesOffense,gradesOffensePenalty,gradesPassBlock,gradesPassRoute,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesRun,gradesPass
184598,Zion Kearney,WR,0,,2029,261,67.1,60.7,84.5,55,58.9,72.5,07,0,11,0,0,127,0,120,247,127,120,OKLAHOMA,OKLAHOMA,,
184602,Reggie Powers III,CB,0,,2029,261,,58.6,60,63.8,55.3,,D13,0,2,0,1,1,0,0,2,2,0,OKLAHOMA,OKLAHOMA,,
184603,Xavier Robinson,HB,0,,2029,261,82.1,75.4,80.3,20.7,75.2,69.9,21,0,7,0,11,42,49,32,134,53,81,OKLAHOMA,OKLAHOMA,74.6,
184614,Michael Marotta,C,0,,2026,108,,59.5,70.9,70.3,,58.5,64,0,3,0,1,0,0,3,4,1,3,APP STATE,APP STATE,,
184628,Jyron Waiters,WR,0,,2028,156,,57.8,69.9,,58.3,59.9,81,0,2,0,0,2,0,6,8,2,6,E CAROLINA,E CAROLINA,,
184630,Cutter Boley,QB,0,,2029,202,21.9,46.4,78.9,,,60,08,1,4,66,0,0,5,42,113,66,47,KENTUCKY,KENTUCKY,35.2,51.7
184632,Hardley Gilmore,WR,0,,2029,202,67.8,59.7,0,,58.6,62.7,17,2,7,0,0,72,1,63,136,72,64,KENTUCKY,KENTUCKY,67.9,
184633,Hayes Johnson,T,0,,2030,202,,60,67.2,,,60,72,0,1,0,0,0,0,3,3,0,3,KENTUCKY,KENTUCKY,,
184636,Jason Patterson,HB,0,,2029,202,32.8,59.8,77.9,26.1,42.2,55.2,26,0,4,0,12,20,20,14,66,32,34,KENTUCKY,KENTUCKY,66,
184638,Aba Selm,G,0,,2030,202,,72.3,77.8,83.2,,70.6,53,0,2,0,14,0,0,24,38,14,24,KENTUCKY,KENTUCKY,,
184643,Malik Aliane,C,0,,2027,241,,68.8,59.3,75.7,59.2,66.6,51,1,12,0,100,1,0,165,266,101,165,NEW MEXICO,NEW MEXICO,,
184648,Josh Perry,HB,0,,2027,241,,60,62.7,,,60,23,0,1,0,0,0,0,1,1,0,1,NEW MEXICO,NEW MEXICO,,
184652,Ben Black III,WR,0,,2029,278,69.4,56.9,84.1,,56.1,62.1,81,0,13,0,0,125,0,96,221,125,96,RUTGERS,RUTGERS,,
184654,KJ Duff,WR,0,,2029,278,71.7,68.3,87.3,64.4,67.8,63.6,08,1,13,0,1,301,0,205,507,302,205,RUTGERS,RUTGERS,,
184663,Matt Ogunniyi,TE,0,,2029,278,,60,66.3,,,60,14,0,1,0,0,0,0,2,2,0,2,RUTGERS,RUTGERS,,
184670,Jadyn Glasser,QB,0,,2029,134,26.8,41,32.4,,,60.1,15,2,4,95,0,0,11,106,212,95,117,C MICHIGAN,C MICHIGAN,52.8,41.8
184673,Luis Martinez,T,0,,2026,134,,43.7,71.9,48.9,,43.8,71,0,2,0,4,0,0,10,14,4,10,C MICHIGAN,C MICHIGAN,,
184677,Brock Townsend,HB,0,,2029,134,69.7,65.1,68.5,,58.6,,22,0,1,0,0,2,5,0,7,2,5,C MICHIGAN,C MICHIGAN,64.6,
184680,Chandler Brown,T,0,,2026,144,,62.6,70.3,76.8,,58.9,60,0,3,0,7,0,0,3,10,7,3,COLO STATE,COLO STATE,,
184689,Connie Hewitt II,TE,0,,2029,206,,55.4,71.2,,55.8,56,85,0,3,0,0,2,0,7,9,2,7,LIBERTY,LIBERTY,,
184690,Andrew Johnson,C,0,,2026,206,,67.4,69.8,,,67.2,77,0,1,0,0,0,0,4,4,0,4,LIBERTY,LIBERTY,,
184692,Donte Lee Jr.,WR,0,,2027,206,67.9,62.9,38.9,,63.1,63.2,09,1,11,0,0,119,0,126,245,119,126,LIBERTY,LIBERTY,,
184698,Caden Williams,HB,0,,2029,206,74.8,59.8,74.6,64.5,57,54.5,23,0,3,0,8,5,14,6,33,13,20,LIBERTY,LIBERTY,60.7,
184707,Marcel Williams,FB,0,,2029,214,,60,70,,,60,82,0,2,0,0,0,0,5,5,0,5,MARSHALL,MARSHALL,,
184708,Makari Bodiford,HB,0,,2030,218,75.5,76.7,74.1,74.4,62.3,59.6,21,0,5,0,2,5,16,3,26,7,19,MEMPHIS,MEMPHIS,74.8,
184714,Brady Kluse,WR,0,,2029,218,66.6,74.2,80.1,,74.3,60.5,12,0,8,0,0,31,0,47,78,31,47,MEMPHIS,MEMPHIS,,
184715,Arrington Maiden,QB,0,,2029,218,62.5,59,63.6,,,,07,0,1,0,0,0,1,0,1,0,1,MEMPHIS,MEMPHIS,59.6,
