playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesOffense,gradesOffensePenalty,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesHandsFumble,gradesPassBlock,gradesPassRoute,gradesPass,gradesRun
170884,Marcus Middleton,TE,0,,2028,231,47.5,77.3,49.3,88,0,1,0,13,19,0,31,63,32,31,MONMOUTH,MONMOUTH,61,74.3,48.6,,
170885,Chris Moreno,G,0,,2028,231,56.7,13.4,57.7,64,1,1,0,48,0,0,34,82,48,34,MONMOUTH,MONMOUTH,,64.7,,,
170886,Tra Neal,WR,0,,2028,231,49.8,77.9,60.7,07,0,1,0,0,30,0,13,43,30,13,MONMOUTH,MONMOUTH,,,50.1,,
170887,Rodney Nelson,HB,0,,2028,231,71.3,77.8,47.4,20,0,1,0,10,29,24,1,64,39,25,MONMOUTH,MONMOUTH,77.8,64.5,77.1,,71.3
170889,Michael Petito,G,0,,2028,231,68.6,71.2,63.4,74,0,1,0,5,0,0,2,7,5,2,MONMOUTH,MONMOUTH,,75.5,,,
170890,Luke Schabel,P,0,,2027,231,60,60,,S46,0,1,0,0,0,1,0,1,0,1,MONMOUTH,MONMOUTH,62.5,,,,60
170893,Drew Danson,TE,0,,2028,240,56.2,73.5,57.7,88,0,1,0,6,2,0,12,20,8,12,NEW HAMP,NEW HAMP,,55.4,57.4,,
170895,Ronald Anderson,T,0,,2028,276,49.5,77.7,48.5,70,0,1,0,35,0,0,40,75,35,40,RICHMOND,RICHMOND,,50.8,,,
170897,Jamaal Brown,HB,0,,2028,276,55.7,75.3,54.2,07,0,1,0,4,11,4,14,33,15,18,RICHMOND,RICHMOND,68.6,75.8,53.4,,57.3
170898,Godwin Burger,T,0,,2028,276,54.2,71.3,51.3,68,0,1,0,9,0,0,4,13,9,4,RICHMOND,RICHMOND,,63,,,
170904,Aziz Foster-Powell,HB,0,,2028,276,74.4,73.8,66.4,03,0,1,0,2,13,12,4,31,15,16,RICHMOND,RICHMOND,74,71.7,62.7,,73.9
170917,Tommy Broderick,G,1,,2029,334,52.7,75.7,58.2,78,1,1,0,11,0,0,15,26,11,15,VILLANOVA,VILLANOVA,,15.4,,,
170919,Nolan Clayton,TE,0,,2029,334,52.4,73.1,54.6,85,0,1,0,2,2,0,22,26,4,22,VILLANOVA,VILLANOVA,,69.1,55.4,,
170921,Kyle Fay,T,0,,2029,334,55.9,76.2,47.6,67,1,1,0,25,0,0,35,60,25,35,VILLANOVA,VILLANOVA,,84.8,,,
170926,Ja'briel Mace,HB,0,,2029,334,54,72.5,59.9,04,0,1,0,0,2,2,3,7,2,5,VILLANOVA,VILLANOVA,68.3,,58.1,,56.2
170928,Chris McCullers,G,0,,2029,334,56.7,78.8,53.6,76,0,1,0,28,0,0,36,64,28,36,VILLANOVA,VILLANOVA,,70.1,,,
170930,Kenyon Miles,WR,0,,2028,334,55.9,72,59.4,15,0,1,0,0,4,0,7,11,4,7,VILLANOVA,VILLANOVA,,,56.2,,
170932,Isaiah Ragland,HB,0,,2029,334,62.9,74.6,60,20,0,1,0,1,10,13,3,27,11,16,VILLANOVA,VILLANOVA,74.4,72.2,67.4,,61.4
170936,Jackson Blee,TE,0,,2029,348,90,67.6,58.2,86,0,1,0,0,2,0,3,5,2,3,WM & MARY,WM & MARY,,,91.4,,
170937,Noah Brannock,QB,0,,2028,348,60,63.6,60,08,0,1,0,0,0,0,1,1,0,1,WM & MARY,WM & MARY,,,,,
170946,Hayden Raley,G,0,,2029,348,67.4,77.7,60,66,0,1,0,33,0,0,29,62,33,29,WM & MARY,WM & MARY,,92,,,
170947,Garrett Robertson,WR,0,,2029,348,82.4,69.7,60,14,0,1,0,0,4,0,2,6,4,2,WM & MARY,WM & MARY,64.1,,78.5,,
170972,Brody Eaton,TE,0,,2030,213,52.3,73.8,55.3,86,0,1,0,3,7,0,16,26,10,16,MARIST,MARIST,,67.5,52.9,,
171023,Connor Tuk,C,0,,2027,338,60,65,60,75,0,1,0,0,0,0,1,1,0,1,WAGNER,WAGNER,,,,,
171042,Bryan Domino,WR,0,,2029,191,64.6,75.8,78.5,04,0,1,0,0,14,2,9,25,14,11,INDIANA ST,INDIANA ST,66.9,,55.8,,68.7
171043,Zack Drawdy Jr.,WR,0,,2028,191,51.5,73.8,41.3,88,0,1,0,0,12,0,8,20,12,8,INDIANA ST,INDIANA ST,61,,55.1,,
171052,Jarvis Jones,WR,0,,2028,317,54.5,73.5,60.8,12,0,1,0,0,6,0,5,11,6,5,TOWSON,TOWSON,,,54.9,,
171060,Danny Shaban,HB,0,,2029,142,68.9,74.5,60,21,0,1,0,3,21,8,1,33,24,9,COLGATE,COLGATE,72,3.3,56.7,,77.9
171071,Jordan Smith,WR,0,,2027,243,56.2,76.1,61.1,12,0,1,0,1,13,0,8,22,14,8,NICHOLLS,NICHOLLS,65.3,60.9,55.9,,
171203,Dylan Kedzior,HB,0,,2026,124,60.7,70.6,60,24,0,1,0,1,6,3,1,11,7,4,BRYANT,BRYANT,67.8,71.5,67.6,,57.9
