playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesKickoffKicker,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepDefense,gradesPuntReturn,gradesFgepOffense,gradesKickReturn,gradesPunter,gradesLongSnap,gradesFgepKicker
177187,Larenzo Fenner,WR,0,0,,2028,291,,60.2,64.3,06,0,0,1,0,0,0,4,0,0,0,S DAKOTA,S DAKOTA,4,,,,,,,
177191,Gabriel Hardman,LB,0,0,,2028,291,,61.9,67.1,D33,0,0,1,0,2,6,0,0,1,0,S DAKOTA,S DAKOTA,9,60,,,,,,
177198,Jesse Miller,TE,0,0,,2028,291,,61.1,60.5,83,0,0,1,5,0,0,0,0,0,0,S DAKOTA,S DAKOTA,5,,,60,,,,
177200,L.J. Phillips Jr.,HB,0,0,,2028,291,,59.6,65,24,0,0,1,0,0,0,4,0,0,0,S DAKOTA,S DAKOTA,4,,,,,,,
177205,Roman Tillmon,S,0,0,,2028,291,,68.2,64.7,D01,0,0,1,0,1,6,0,0,1,1,S DAKOTA,S DAKOTA,8,60,,,,,,
177209,Brenden Begeman,HB,0,0,,2029,292,,60.5,64.6,24,0,0,1,0,0,2,0,0,0,0,S DAK ST,S DAK ST,2,,,,,,,
177210,Kenyon BigBow,T,0,0,,2029,292,,60,61,62,0,0,1,1,0,0,0,0,0,0,S DAK ST,S DAK ST,1,,,60,,,,
177218,Reis Kirschenman,ED,0,0,,2029,292,,60,62.7,D97,0,0,1,0,1,0,0,0,0,0,S DAK ST,S DAK ST,1,59.8,,,,,,
177221,William Paepke,G,0,0,,2029,292,,60,63.4,77,0,0,1,1,0,0,0,0,0,0,S DAK ST,S DAK ST,1,,,60,,,,
177225,Noah St-Juste,CB,0,0,,2029,292,,60.8,66.6,D16,0,0,1,0,0,0,0,0,4,0,S DAK ST,S DAK ST,4,,,,,,,
177226,Davin Stoffel,TE,0,0,,2028,292,,61.6,65.6,87,0,0,1,9,0,0,3,3,0,0,S DAK ST,S DAK ST,15,,,60,,,,
177227,Kolten Tilford,S,0,0,,2027,292,,62.6,68.8,D26,0,0,1,0,0,10,0,3,4,0,S DAK ST,S DAK ST,17,,,,,,,
177228,Chase Van Tol,CB,1,0,,2029,292,,72.9,69.4,D28,0,0,1,0,2,8,2,0,4,1,S DAK ST,S DAK ST,16,60,,,,,,
177229,Kirby Vorhees,HB,0,0,,2028,292,,59.9,64.8,20,0,0,1,0,0,0,3,0,0,0,S DAK ST,S DAK ST,3,,,,,,,
177844,Sully Croker,K,1,0,,2028,219,58.3,60,66,S92,0,0,1,0,0,2,0,0,0,0,MERCER,MERCER,2,,,,,,,
177849,Jaiden Hamilton,LS,0,0,,2028,219,,28.6,63.9,S56,0,0,1,1,0,0,0,7,0,0,MERCER,MERCER,8,,,60,,,83.5,
178946,Brack Peacock,K,0,0,,2028,189,,60,62.5,S46,0,0,1,2,0,0,0,0,0,0,INCAR WORD,INCAR WORD,2,,,,,,,60
182776,Joseph Adema,LS,0,0,,2028,322,,63.8,62.6,S48,0,0,1,3,0,0,0,2,0,0,UC DAVIS,UC DAVIS,5,,,60,,,77.3,
182880,Connor Bonesio,TE,0,0,,2027,322,,60.5,63.8,15,0,0,1,3,0,0,6,0,0,0,UC DAVIS,UC DAVIS,9,,,60,,,,
185105,Zaire Collier,C,0,0,,2028,322,,61.1,65.7,52,0,0,1,3,0,0,0,0,0,0,UC DAVIS,UC DAVIS,3,,,60,,,,
185543,Donovan Woolen,CB,0,0,,2029,250,,62,68.5,D51,0,0,1,0,0,1,2,0,7,0,N DAK ST,N DAK ST,10,,,,,,,
185545,Nate Ewell,LB,0,0,,2026,291,,60,62.4,D00,0,0,1,0,1,0,0,0,1,0,S DAKOTA,S DAKOTA,2,60,,,,,,
185547,Max Pelham,P,0,0,,2027,292,,60.8,60.7,S41,0,0,1,9,0,0,0,0,0,0,S DAK ST,S DAK ST,9,,,60.3,,,,
185549,Trey Ridley,S,0,0,,2029,292,,62.2,70.3,D31,0,0,1,0,0,10,0,0,0,0,S DAK ST,S DAK ST,10,,,,,,,
185872,Carmelo O'neal,CB,0,0,,2029,219,,61.4,69.5,D07,0,0,1,0,0,0,6,0,5,0,MERCER,MERCER,11,,,,,,,
185875,Cole Shaw,WR,0,0,,2029,219,,61.4,66,82,0,0,1,0,0,0,0,0,4,0,MERCER,MERCER,4,,,,,,,
185994,Terrell Elliott,DI,0,0,,2028,189,,59.3,64,D41,0,0,1,0,4,0,0,4,0,0,INCAR WORD,INCAR WORD,8,59,,,,,,
185995,Drew Merrill,S,0,0,,2026,189,,60.9,68.8,D23,0,0,1,0,0,3,10,0,3,0,INCAR WORD,INCAR WORD,16,,,,59.9,,,
186142,Cale Allen,LB,0,0,,2029,185,,61.6,65.2,D30,0,0,1,0,0,5,0,0,0,0,IDAHO,IDAHO,5,,,,,,,
186153,Owen Forsman,K,0,0,,2029,185,61.3,60,67,S20,0,0,1,0,0,3,0,0,0,0,IDAHO,IDAHO,3,,,,,,,
186156,Cruz Hepburn,LB,0,0,,2027,185,,60.7,65.8,D44,0,0,1,0,0,1,0,1,1,0,IDAHO,IDAHO,3,,,,,,,
186160,Matt Irwin,S,0,0,,2029,185,,61.4,66.5,D28,0,0,1,0,0,5,0,0,0,0,IDAHO,IDAHO,5,,,,,,,
186180,Diezel Wilkinson,S,0,0,,2029,185,,61.9,66,D24,0,0,1,0,0,5,0,0,1,0,IDAHO,IDAHO,6,,,,,,,
188553,Antonio Butts Jr.,LB,0,0,,2029,219,,62.9,70.2,D33,0,0,1,0,0,2,0,0,5,0,MERCER,MERCER,7,,,,,,,
188565,Tyler Murray,G,0,0,,2029,219,,60,63.4,57,0,0,1,1,0,0,0,0,0,0,MERCER,MERCER,1,,,60,,,,
188567,Kelin Parsons,WR,0,0,,2025,219,,59.4,68.4,13,0,0,1,0,0,0,0,7,0,0,MERCER,MERCER,7,,,,,,,
188573,Andrew Zock,ED,0,0,,2029,219,,60.1,63.4,D94,0,0,1,0,5,0,0,0,0,0,MERCER,MERCER,5,59.9,,,,,,
191472,Seth Brock,ED,0,0,,2029,233,,59.5,63.1,D91,0,0,1,0,2,0,0,0,0,0,MONTANA ST,MONTANA ST,2,59.3,,,,,,
191480,Unterrio Latin-Henley,HB,0,0,,2028,233,,62.8,68.3,31,0,0,1,0,0,9,3,0,1,0,MONTANA ST,MONTANA ST,13,,,,59.4,,,
191482,Jhase McMillan,CB,0,0,,2030,233,,62.1,69.9,D12,0,0,1,0,1,9,0,0,0,0,MONTANA ST,MONTANA ST,10,60,,,,,,
191486,Dane Steel,WR,0,0,,2029,233,,61.2,66.2,35,0,0,1,0,0,9,5,0,1,0,MONTANA ST,MONTANA ST,15,,,,,,,
191985,Taylen Eady,S,0,0,,2030,250,,61.7,68.7,D26,0,0,1,0,0,0,0,0,7,0,N DAK ST,N DAK ST,7,,,,,,,
192003,Will Washington,CB,0,0,,2028,250,,61.2,67.7,D34,0,0,1,0,0,0,0,0,7,0,N DAK ST,N DAK ST,7,,,,,,,
192004,Jackson Williams,WR,0,0,,2029,250,,60.2,64.2,81,0,0,1,0,0,0,2,0,7,0,N DAK ST,N DAK ST,9,,57.6,,63.5,,,
192024,Nick Bakken,T,0,0,,2029,292,,60,63.7,68,0,0,1,1,0,0,0,0,0,0,S DAK ST,S DAK ST,1,,,60,,,,
192026,Kobe Clayborne,ED,0,0,,2026,292,,59.9,62.6,D94,0,0,1,0,2,0,0,0,0,0,S DAK ST,S DAK ST,2,59.8,,,,,,
192036,Lofton O'Groske,WR,0,0,,2029,292,,60,61.8,80,0,0,1,0,0,0,3,0,0,0,S DAK ST,S DAK ST,3,,,,59.4,,,
192037,Anthony Palano,LB,1,0,,2029,292,,72.7,68.3,D42,0,0,1,0,0,10,1,0,0,1,S DAK ST,S DAK ST,11,,,,,,,
196859,Jacob Clark,LB,0,0,,2027,291,,62,67,D34,0,0,1,0,0,6,0,0,0,0,S DAKOTA,S DAKOTA,6,,,,,,,
197054,Mikey Munn,CB,0,0,,2029,291,,62.5,27.3,D26,0,1,1,0,0,6,4,3,1,1,S DAKOTA,S DAKOTA,14,,,,,,,
197702,Duncan Viscum,LS,0,0,,2029,291,,64.8,63,S53,0,0,1,5,0,0,0,3,0,0,S DAKOTA,S DAKOTA,8,,,61.6,,,78.7,
197792,Nick Rigas,K,0,0,,2029,189,61.3,60,67,S95,0,0,1,0,0,3,0,0,0,0,INCAR WORD,INCAR WORD,3,,,,,,,
