playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesOffense,gradesOffensePenalty,gradesPassRoute,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesHandsFumble,gradesPassBlock,gradesPass,gradesRun
142401,Ricky Ortega,QB,0,,2026,133,58.7,66.8,,60,01,0,1,0,0,0,1,1,2,0,2,CENT CT ST,CENT CT ST,62.5,,,59.6
142402,Jake Picard,C,0,,2026,334,59.6,0,,58.3,69,1,1,0,32,0,0,30,62,32,30,VILLANOVA,VILLANOVA,,83.4,,
142410,Charles Grant,T,0,2025,2025,348,81.5,76,60,79.6,60,0,1,0,24,1,0,22,47,25,22,WM & MARY,WM & MARY,,81.1,,
142414,Malachi Imoh,HB,0,,2025,348,52.1,75.9,55.1,59,01,0,1,0,0,15,9,3,27,15,12,WM & MARY,WM & MARY,72.6,,,52.7
142416,John Kearney,ED,0,,2025,348,60,60,,,D43,0,1,0,1,0,0,0,1,1,0,WM & MARY,WM & MARY,,63.8,,
142417,DreSean Kendrick,WR,0,,2026,348,55.4,74.9,55.2,61.5,05,0,1,0,0,9,0,10,19,9,10,WM & MARY,WM & MARY,63.8,,,
142420,JT Mayo,WR,1,,2025,348,41.9,0,52,36.1,03,2,1,0,0,24,0,18,42,24,18,WM & MARY,WM & MARY,,,,
142421,Ryan McKenna,C,1,,2026,348,68.4,0,,67.7,75,1,1,0,27,0,0,23,50,27,23,WM & MARY,WM & MARY,,83,,
142432,Ry Yates,TE,0,,2025,352,60,64.4,,60,44,0,1,0,0,0,0,1,1,0,1,YALE,YALE,,,,
142452,Michael Fallah,G,0,,2027,155,61.4,79.1,,54.4,78,0,1,0,31,0,0,20,51,31,20,DUQUESNE,DUQUESNE,,87.9,,
142453,Joey Isabella,WR,0,,2026,155,71.5,0,72.9,60.6,05,1,1,0,0,35,0,18,53,35,18,DUQUESNE,DUQUESNE,65.7,,,
142493,Jake Timm,C,0,,2026,1298,62.5,78.7,,58.2,52,0,1,0,22,0,0,31,53,22,31,LIUSHAR,LIUSHAR,,84.7,,
142497,Lemeko Mayes,WR,0,,2025,1298,57.2,76.2,59.7,44.6,80,0,1,0,0,16,0,17,33,16,17,LIUSHAR,LIUSHAR,61,,,
142515,Mason Buono,G,0,,2026,1298,60,63.8,,60,58,0,1,0,0,0,0,1,1,0,1,LIUSHAR,LIUSHAR,,,,
142525,Jacari Carter,WR,0,,2025,106,49.6,75,50.1,60.8,13,0,1,0,0,17,0,7,24,17,7,ALBANY,ALBANY,19.9,,,
142540,Ralph Paige Jr.,C,0,,2025,317,53.6,0,,61.8,53,1,1,0,20,0,0,34,54,20,34,TOWSON,TOWSON,,27.4,,
