playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesOffense,gradesOffensePenalty,gradesPassBlock,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesHandsFumble,gradesPassRoute,gradesRun,gradesPass
162741,Tychaun Chapman,WR,0,,2027,214,88.3,75.7,,61.3,02,0,1,0,0,13,0,12,25,13,12,MARSHALL,MARSHALL,67.1,90.3,,
163045,K.D. Hutchinson,WR,0,,2027,346,62.1,73.9,,60.8,15,0,1,0,0,16,0,7,23,16,7,W KENTUCKY,W KENTUCKY,64.1,61.7,,
163051,Easton Messer,WR,0,,2027,346,64.9,74.7,,60.3,08,0,1,0,0,28,0,6,34,28,6,W KENTUCKY,W KENTUCKY,68.6,64.4,,
163179,Dewayne Coleman,QB,0,,2026,114,60.9,65.5,,,10,0,1,0,0,0,2,0,2,0,2,ARMY,ARMY,65.5,,60.1,
163189,Liam Fortner,TE,0,,2026,114,62.2,74.6,,61.4,04,0,1,0,0,0,0,25,25,0,25,ARMY,ARMY,,,,
163213,Hayden Reed,HB,0,,2026,114,54.5,77.4,72.7,51.4,08,0,1,0,2,1,0,47,50,3,47,ARMY,ARMY,,60,,
163220,Noah Short,WR,0,2026,2026,114,58.8,77.1,,60.6,15,0,1,0,0,3,8,35,46,3,43,ARMY,ARMY,72,76.7,55.5,
163277,Max Ware,WR,1,,2028,110,45.5,0,,60.8,15,1,1,0,0,0,0,8,8,0,8,ARIZONA ST,ARIZONA ST,,,,
163291,Josh Conerly Jr.,T,0,2025,2025,264,58.7,77.8,77.3,52.4,76,0,1,0,35,0,0,40,75,35,40,OREGON,OREGON,,,,
163294,Dave Iuli,G,0,,2027,264,55.7,78.5,54.2,54.5,74,0,1,0,30,0,0,30,60,30,30,OREGON,OREGON,,,,
163295,Jordan James,HB,0,2025,2025,264,66.4,76.8,76.1,59.1,20,0,1,0,3,17,20,4,44,20,24,OREGON,OREGON,76.8,50.6,69.2,
163374,Roger Carreon,G,0,,2027,120,62.1,78.8,42.2,64.2,62,0,1,0,29,0,0,36,65,29,36,BOISE ST,BOISE ST,,,,
163379,Maddux Madsen,QB,0,,2027,120,68.8,76.6,,60,04,0,1,29,0,0,3,33,65,29,36,BOISE ST,BOISE ST,69.7,,72.4,62.7
163388,Hall Schmidt,T,0,,2028,120,53.4,75.3,55.9,52.4,65,0,1,0,19,0,0,28,47,19,28,BOISE ST,BOISE ST,,,,
163586,Isaiah Bond,WR,1,2025,2025,311,48.8,0,,59.7,07,3,1,0,0,30,0,12,42,30,12,TEXAS,TEXAS,61,56.6,,
163610,Shazz Preston,WR,0,,2027,319,68,74,,60.6,06,0,1,0,0,6,0,12,18,6,12,TULANE,TULANE,61,67.4,,
