playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepDefense,gradesFgepOffense,gradesLongSnap,gradesKickReturn,gradesPuntReturn,gradesFgepKicker,gradesPunter,gradesKickoffKicker
146982,Tunmise Adeleye,ED,0,0,,2027,325,59.3,63.1,D30,0,0,1,0,3,0,0,0,0,0,UNLV,UNLV,3,59.2,,,,,,,
146994,Bryce Foster,C,0,0,,2026,198,61.6,62.1,61,0,0,1,5,0,0,0,0,0,0,KANSAS,KANSAS,5,,60.8,,,,,,
146996,Fernando Garza III,TE,0,0,,2026,281,60,66.5,89,0,0,1,0,0,0,0,1,0,0,SM HOUSTON,SM HOUSTON,1,,,,,,,,
147839,Dylan Flowers,CB,0,0,,2027,346,60.6,67.6,D10,0,0,1,0,0,0,0,0,2,0,W KENTUCKY,W KENTUCKY,2,,,,,,,,
148199,Drew Clausen,LS,0,0,,2027,193,52.5,63.2,S56,0,0,1,5,0,0,0,4,0,0,IOWA STATE,IOWA STATE,9,,58.2,24.7,,,,,
148808,Trey Harris,S,0,0,,2026,281,59.9,65.8,D03,0,0,1,0,1,0,8,0,0,0,SM HOUSTON,SM HOUSTON,9,60,,,,,,,
148854,Jordan Washington,CB,0,0,2026,2026,300,60.2,65.2,D10,0,0,1,0,3,0,0,0,0,0,STANFORD,STANFORD,3,59.8,,,,,,,
149576,Finn Claypool,ED,0,0,,2026,169,60.3,67.3,D19,0,0,1,0,1,0,2,4,1,0,FRESNO ST,FRESNO ST,8,59.8,,,,,,,
150275,Christian Pavon,K,0,0,,2026,281,60,68.4,S49,0,0,1,0,0,5,0,0,0,0,SM HOUSTON,SM HOUSTON,5,,,,,,,,73.4
150288,Quan Williams,S,0,0,,2026,281,34.2,69.5,D32,0,0,1,0,0,5,0,5,3,0,SM HOUSTON,SM HOUSTON,13,,,,,,,,
150299,Emon Allen,CB,0,0,,2026,281,61.2,66.2,D07,0,0,1,0,4,4,0,0,5,0,SM HOUSTON,SM HOUSTON,13,60,,,,63.9,,,
150300,Adrian Murdaugh,HB,0,0,,2026,281,69.2,68.4,38,0,0,1,0,0,5,8,6,0,0,SM HOUSTON,SM HOUSTON,19,,,,,,,,
150570,Avarion Cole,S,0,0,,2026,346,76.3,68.6,D16,0,0,1,0,0,8,5,2,0,0,W KENTUCKY,W KENTUCKY,15,,,,,,,,
150904,Jaden Hardy,DI,0,0,,2026,346,60.2,64.7,D98,0,0,1,0,3,0,0,0,1,0,W KENTUCKY,W KENTUCKY,4,59.4,,,,,,,
151049,Laith Marjan,K,0,0,2026,2026,198,60.3,67.9,S99,0,0,1,5,0,6,0,0,0,0,KANSAS,KANSAS,11,,,,,,68.3,,71.7
151151,Tamatoa McDonough,ED,0,0,,2026,193,60.6,64.2,D58,0,0,1,0,3,0,0,0,1,0,IOWA STATE,IOWA STATE,4,59.9,,,,,,,
154116,Jemeil Jackson,T,0,0,,2026,346,61.9,67.7,70,0,0,1,7,0,0,0,0,0,0,W KENTUCKY,W KENTUCKY,7,,60,,,,,,
154696,Al-Ma'hi Ali,S,0,0,,2026,346,59.8,61.5,D02,0,0,1,0,4,0,0,0,0,0,W KENTUCKY,W KENTUCKY,4,59.7,,,,,,,
156099,Velltray Jefferson,TE,0,0,,2028,325,61.7,63.9,88,0,0,1,8,0,0,0,0,0,0,UNLV,UNLV,8,,60,,,,,,
156213,Aamaris Brown,S,0,0,2026,2026,325,60.4,66.8,D09,0,0,1,0,4,1,0,2,1,0,UNLV,UNLV,8,59.9,,,,,,,
156427,Kyson Van Vugt,T,0,0,,2028,169,59.8,62.4,75,0,0,1,0,1,0,0,0,0,0,FRESNO ST,FRESNO ST,1,59.6,,,,,,,
156486,Gabe Powers,LB,0,0,,2027,199,59.4,66.4,D35,0,0,1,0,0,0,0,4,0,0,KANSAS ST,KANSAS ST,4,,,,,,,,
156530,Jaylen Wester,LB,0,0,,2027,346,62.7,67.4,D21,0,0,1,0,2,7,0,0,1,0,W KENTUCKY,W KENTUCKY,10,60,,,,,,,
156859,Alonzo Edwards Jr.,CB,0,0,,2026,281,60.2,66.2,D00,0,0,1,0,6,0,0,0,0,0,SM HOUSTON,SM HOUSTON,6,59.6,,,,,,,
157018,Jaylen Lewis,S,0,0,,2027,346,60.5,67,D07,0,0,1,0,4,0,5,1,3,0,W KENTUCKY,W KENTUCKY,13,59.9,,,,,,,
157115,Laterrance Welch,CB,0,0,,2027,325,60.7,66.1,D00,0,0,1,0,4,0,0,0,1,0,UNLV,UNLV,5,60,,,,,,,
157195,Robby Harrison,DI,0,0,,2027,346,59.4,64.7,D13,0,0,1,0,2,0,0,0,1,0,W KENTUCKY,W KENTUCKY,3,59.5,,,,,,,
157275,Matt Rose,LB,0,0,,2027,300,61.7,64.6,D35,0,0,1,0,4,5,0,0,1,0,STANFORD,STANFORD,10,60,,,,,,,
157278,Ernest Cooper,ED,0,0,,2027,300,61.1,65.9,D44,0,0,1,0,0,0,0,0,3,0,STANFORD,STANFORD,3,,,,,,,,
157281,Tevarua Tafiti,ED,0,0,,2027,300,60,62.3,D11,0,0,1,0,4,0,0,0,0,0,STANFORD,STANFORD,4,59.9,,,,,,,
157284,Zach Rowell,DI,0,0,,2027,300,59.3,64.8,D97,0,0,1,0,5,0,0,0,1,0,STANFORD,STANFORD,6,59.3,,,,,,,
157306,Justice Finkley,ED,0,0,,2026,198,33.6,26.1,D15,0,1,1,0,2,0,0,3,4,0,KANSAS,KANSAS,9,59.6,,,,,,,
157359,Trey Lathan,LB,0,0,,2027,198,60.3,63,D04,0,0,1,0,2,0,0,0,1,0,KANSAS,KANSAS,3,60,,,,,,,
157558,Donovan Spellman,ED,0,0,,2027,325,60.7,67.8,D19,0,0,1,0,4,7,5,4,1,0,UNLV,UNLV,21,60,,,,,,,
