playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesHandsFumble,gradesOffense,gradesOffensePenalty,gradesPassBlock,gradesPassRoute,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesRun,gradesPass
155264,Hunter Smith,G,0,,2026,401,,77.9,78.7,82.7,,77.4,60,0,1,0,25,0,0,24,49,25,24,TARLETON,TARLETON,,
156043,Tylan Hines,HB,0,,2027,401,68.6,61.2,70.1,71.9,58.6,,01,0,1,0,3,2,4,0,9,5,4,TARLETON,TARLETON,60.8,
156261,Mehki Wall,WR,0,,2028,247,62.9,72.8,74.9,,71,60.1,11,0,1,0,0,10,0,3,13,10,3,NC CENT,NC CENT,,
156456,Richard Torres,QB,0,,2027,189,69.3,60.3,76.8,,,60,15,0,1,39,0,0,1,25,65,39,26,INCAR WORD,INCAR WORD,57,60.5
157481,Cam'Ron McCoy,QB,0,,2028,297,27.3,76.8,75.1,,,60,00,0,1,23,0,0,3,17,43,23,20,SOUTHERN U,SOUTHERN U,77.8,65.3
157984,Micah Bell,HB,0,,2027,219,11.5,42.5,76.2,50.6,63.9,58.7,27,0,1,0,3,3,2,3,11,6,5,MERCER,MERCER,42.5,
159028,Aidan Moe,T,0,,2027,401,,68.9,75.9,84.3,,62.2,73,0,1,0,25,0,0,24,49,25,24,TARLETON,TARLETON,,
159044,Chance Miller,WR,0,,2026,269,64.1,59.9,79.6,,59.4,62,81,0,1,0,0,34,0,29,63,34,29,PORTLAND,PORTLAND,,
159048,Brooks Ferguson,TE,0,,2027,269,,52.7,73.8,25.7,57.5,59.6,16,0,1,0,2,2,0,10,14,4,10,PORTLAND,PORTLAND,,
159060,Anthony Tena,G,0,,2027,269,,57.7,79.9,67.1,,54.2,60,0,1,0,37,0,0,29,66,37,29,PORTLAND,PORTLAND,,
159064,Jaylen Lynch,WR,0,,2028,269,61,43.3,74.7,60.9,44.2,61,00,0,1,0,1,19,0,6,26,20,6,PORTLAND,PORTLAND,,
159374,Alex Todt,G,0,,2027,401,,57.9,72.2,67.3,,57.4,75,0,1,0,1,0,0,7,8,1,7,TARLETON,TARLETON,,
159658,Jamari Freeman,G,0,,2027,219,,75,79.1,87.1,,73.4,63,0,1,0,30,0,0,23,53,30,23,MERCER,MERCER,,
159834,Travion Solomon,WR,0,,2027,219,,50.5,75.4,61.1,54.2,42.4,23,0,1,0,1,10,0,9,20,11,9,MERCER,MERCER,,
159836,CJ Miller,HB,0,,2029,219,68.6,53.8,68.5,,58.3,,22,0,1,0,0,2,4,0,6,2,4,MERCER,MERCER,55.4,
159847,Sawyer Burt,TE,0,,2027,219,,49.4,72.4,40.7,51.9,54.4,85,0,1,0,1,6,0,9,16,7,9,MERCER,MERCER,,
159859,Mic Wasson,LB,0,,2026,219,62.5,58.2,60,,,,D48,0,1,0,0,0,1,0,1,0,1,MERCER,MERCER,59.3,
159863,Drew Clare,LB,0,,2027,219,,60,60,,,60,D51,0,1,0,0,0,0,1,1,0,1,MERCER,MERCER,,
159881,Tommy Bliss,S,0,,2027,219,,60,65,,,60,D12,0,1,0,0,0,0,1,1,0,1,MERCER,MERCER,,
