playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesFgepDefense,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesKickReturn,gradesPuntReturn,gradesFgepOffense,gradesFgepKicker,gradesKickoffKicker,gradesLongSnap,gradesPunter
164158,Kaytron Allen,HB,0,0,2026,2026,266,,59.9,65.7,13,0,0,1,0,0,0,5,0,0,0,PENN STATE,PENN STATE,5,,,,,,,
164160,Abdul Carter,ED,0,0,2025,2025,266,60.1,60.7,65.1,D11,0,0,1,0,4,0,0,0,2,0,PENN STATE,PENN STATE,6,,,,,,,
164163,Dani Dennis-Sutton,ED,0,0,2026,2026,266,59.1,60.2,64.8,D33,0,0,1,0,3,0,0,0,2,0,PENN STATE,PENN STATE,5,,,,,,,
164166,Zane Durant,DI,0,0,2026,2026,266,59.8,61.1,66.1,D28,0,0,1,0,3,0,0,0,2,0,PENN STATE,PENN STATE,5,,,,,,,
164173,Tyler Holzworth,HB,0,0,,2026,266,,60.7,68.1,34,0,0,1,0,0,0,5,0,0,0,PENN STATE,PENN STATE,5,,,,,,,
164178,Cam Miller,CB,0,0,2026,2026,266,59.9,54,68.6,D05,1,0,1,0,2,5,0,5,4,0,PENN STATE,PENN STATE,16,,,,,,,
164183,Dominic Rulli,C,0,0,,2027,266,,61,64,52,0,0,1,4,0,0,0,5,0,0,PENN STATE,PENN STATE,9,,,60,,,,
164188,Nicholas Singleton,HB,0,0,2026,2026,266,,60,62.2,10,0,0,1,0,0,0,5,0,0,0,PENN STATE,PENN STATE,5,58.3,,,,,,
170252,Malik Hartford,S,0,0,,2029,260,,61.9,69,D09,0,0,1,0,0,5,0,0,3,0,OHIO STATE,OHIO STATE,8,,,,,,,
170255,Brandon Inniss,WR,0,0,,2028,260,,59.9,64.8,11,0,0,1,0,0,0,3,0,3,0,OHIO STATE,OHIO STATE,6,,62.9,,,,,
170257,Jermaine Mathews Jr.,CB,0,0,,2028,260,60,61.5,70.7,D24,0,0,1,0,2,4,0,4,4,0,OHIO STATE,OHIO STATE,14,,,,,,,
170261,Luke Montgomery,G,0,0,,2028,260,,61.1,67.8,51,0,0,1,4,0,0,0,0,0,0,OHIO STATE,OHIO STATE,4,,,60,,,,
170263,Joshua Padilla,C,0,0,,2028,260,,60.6,61.7,62,0,0,1,4,0,0,0,0,0,0,OHIO STATE,OHIO STATE,4,,,60,,,,
170264,Arvell Reese,LB,0,0,2026,2026,260,60.1,63.4,68.7,D20,0,0,1,0,2,5,0,0,4,0,OHIO STATE,OHIO STATE,11,,,,,,,
