playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesFgepDefense,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepOffense,gradesKickReturn,gradesFgepKicker,gradesKickoffKicker,gradesPuntReturn,gradesLongSnap,gradesPunter
183710,Jeremiah Smith,WR,0,0,,2029,260,,60,62.2,04,0,0,1,0,0,0,1,0,0,0,OHIO STATE,OHIO STATE,1,,,,,,,
184103,Loghan Thomas,ED,1,0,,2029,258,,67.6,67.2,D10,0,0,1,0,0,4,7,0,1,0,NOTRE DAME,NOTRE DAME,12,,,,,,,
184104,Kennedy Urlacher,S,0,0,,2029,258,,60.6,63.6,D23,0,0,1,0,0,4,0,0,0,0,NOTRE DAME,NOTRE DAME,4,,,,,,,
184105,Kyngstonn Viliamu-Asa,LB,0,0,,2028,258,59.9,60,64.1,D27,0,0,1,0,3,0,0,0,1,0,NOTRE DAME,NOTRE DAME,4,,,,,,,
184106,Joseph Vinci,LS,0,0,,2029,258,,62.8,62.6,S96,0,0,1,0,0,0,0,2,0,0,NOTRE DAME,NOTRE DAME,2,,,,,,78.5,
184109,Kedren Young,HB,0,0,,2029,258,,59.8,64,21,0,0,1,0,0,0,2,0,0,0,NOTRE DAME,NOTRE DAME,2,,,,,,,
184110,Bryce Young,ED,0,0,,2029,258,58.9,59,64.1,D30,0,0,1,0,6,0,0,0,1,0,NOTRE DAME,NOTRE DAME,7,,,,,,,
189881,Guerby Lambert,T,0,0,,2029,258,,60.6,61.5,76,0,0,1,2,0,0,0,0,0,0,NOTRE DAME,NOTRE DAME,2,60,,,,,,
189882,Leonard Moore,CB,0,0,,2029,258,60,60.9,66.1,D15,0,0,1,0,6,0,0,0,0,0,NOTRE DAME,NOTRE DAME,6,,,,,,,
189884,James Rendell,P,0,0,,2026,258,,60,65.4,S16,0,0,1,0,0,0,0,2,0,0,NOTRE DAME,NOTRE DAME,2,,,,,,,58.9
189886,Teddy Rezac,LB,0,0,,2029,258,,61.6,65.9,D35,0,0,1,0,0,3,0,0,1,0,NOTRE DAME,NOTRE DAME,4,,,,,,,
