playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesOffense,gradesOffensePenalty,gradesPassBlock,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesHandsFumble,gradesPassRoute,gradesPass,gradesRun
156795,Trent Fraley,C,0,,2027,250,68.8,79.3,77.2,64.8,63,0,1,0,29,0,0,31,60,29,31,N DAK ST,N DAK ST,,,,
159125,Rohan Jones,TE,0,2026,2026,233,50.8,77.2,69.9,63.1,08,0,1,0,3,25,0,17,45,28,17,MONTANA ST,MONTANA ST,64.1,47.4,,
162198,Mekhi Collins,WR,0,,2028,250,58.4,65.8,,60,15,0,1,0,0,1,0,1,2,1,1,N DAK ST,N DAK ST,,59.6,,
162223,Kaden Zenzen,TE,0,,2028,250,59.8,64.4,,,40,0,1,0,0,1,0,0,1,1,0,N DAK ST,N DAK ST,,59.6,,
164387,Taco Dowler,WR,0,,2027,233,75.6,76.2,,54.7,14,0,1,0,0,25,0,17,42,25,17,MONTANA ST,MONTANA ST,66.8,76.6,,
164393,Burke Mastel,G,0,,2027,233,56.9,77.9,55.6,55.8,64,0,1,0,23,0,0,17,40,23,17,MONTANA ST,MONTANA ST,,,,
164394,Conner Moore,T,0,,2027,233,49.6,16.3,37.6,58.9,72,1,1,0,34,0,0,29,63,34,29,MONTANA ST,MONTANA ST,,,,
164401,Rylan Schlepp,TE,0,,2027,233,57.2,67.5,,59,88,0,1,0,0,1,0,3,4,1,3,MONTANA ST,MONTANA ST,,59,,
174409,CharMar Brown,HB,0,,2028,250,63,74.6,70.5,59.3,25,0,1,0,2,9,17,4,32,11,21,N DAK ST,N DAK ST,75.8,31,,66.7
176767,Scottre Humphrey,HB,0,,2028,233,50.6,74.1,22.5,58.7,22,0,1,0,3,5,11,5,24,8,16,MONTANA ST,MONTANA ST,73.5,56.7,,53.2
176769,Adam Jones,HB,0,,2028,233,70.4,75.1,79.4,60,23,0,1,0,6,19,11,2,38,25,13,MONTANA ST,MONTANA ST,74.1,69,,67.9
177170,Griffin Empey,G,0,,2029,250,63.7,0,78.3,65.6,62,1,1,0,29,0,0,31,60,29,31,N DAK ST,N DAK ST,,,,
