playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesFgepDefense,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepOffense,gradesLongSnap,gradesPuntReturn,gradesPunter,gradesFgepKicker,gradesKickReturn,gradesKickoffKicker
101661,Shadrick Byrd,HB,0,0,,2026,270,,59.6,66.1,15,0,0,1,0,0,0,5,2,0,0,PRVIEW A&M,PRVIEW A&M,7,,,,,,59.9,
123723,Darrell Starling Jr.,S,0,0,,2026,270,60.1,61.2,65.3,D25,0,0,1,0,4,0,0,0,2,0,PRVIEW A&M,PRVIEW A&M,6,,,,,,,
123936,Alajujuan Sparks Jr.,DI,0,0,,2026,270,59.6,61.6,66.8,D99,0,0,1,6,1,0,0,0,0,0,PRVIEW A&M,PRVIEW A&M,7,61.5,,,,,,
130649,Anthony Enechukwu,S,0,0,,2026,194,,61.8,67.6,D12,0,0,1,0,0,5,0,0,1,0,JACKSON ST,JACKSON ST,6,,,,,,,
131399,Kobe Paul,WR,0,0,,2027,194,,67.7,66.9,05,0,0,1,0,0,5,6,0,1,1,JACKSON ST,JACKSON ST,12,,,,,,59.9,
138088,Jeremiah Mawali,T,0,0,,2026,270,,61.3,64.1,75,0,0,1,6,0,0,0,0,0,0,PRVIEW A&M,PRVIEW A&M,6,60,,,,,,
139348,Desmond Moultrie,HB,0,0,,2026,194,,60.4,71.8,09,0,0,1,0,0,0,6,7,1,0,JACKSON ST,JACKSON ST,14,,,,,,,
139357,Errick Simmons,WR,0,0,,2026,194,,59.4,68.7,17,0,0,1,0,0,0,6,7,0,0,JACKSON ST,JACKSON ST,13,,,,,,59.4,
142194,Jamal Marshall,ED,0,0,,2026,270,59.2,61.3,68.3,D93,0,0,1,6,3,0,0,2,1,0,PRVIEW A&M,PRVIEW A&M,12,60,,,,,,
142205,Carlos Villagomez,K,0,0,,2026,270,,60,61.7,S97,0,0,1,1,0,0,0,0,0,0,PRVIEW A&M,PRVIEW A&M,1,,,,,60,,
143327,Quincy Ivory,ED,0,0,,2026,194,59.9,60.7,65.5,D06,0,0,1,0,5,0,0,0,1,0,JACKSON ST,JACKSON ST,6,,,,,,,
144416,Mandel Eugene Jr.,LB,0,0,,2026,270,,66.5,68,D42,0,0,1,0,0,6,5,2,0,1,PRVIEW A&M,PRVIEW A&M,13,,,,,,,
144511,Cameron Bonner,WR,0,0,,2026,270,,61.4,66.6,83,0,0,1,0,0,6,0,2,0,0,PRVIEW A&M,PRVIEW A&M,8,,,,,,,
144974,Cameron James,T,0,0,,2026,194,,60.8,60.5,58,0,0,1,4,0,0,0,0,0,0,JACKSON ST,JACKSON ST,4,60,,,,,,
145293,Hunter Burns,LS,0,0,,2026,194,,62,61.6,S44,0,0,1,4,0,0,0,0,0,0,JACKSON ST,JACKSON ST,4,60,69.2,,,,,
145745,Bryson Moss,HB,0,0,,2026,194,,84.7,67,14,0,0,1,0,0,0,0,7,0,2,JACKSON ST,JACKSON ST,7,,,,,,,
147267,Sterling Roberts,LB,0,0,,2026,270,91,91.1,24.9,D03,0,1,1,0,4,0,0,0,2,0,PRVIEW A&M,PRVIEW A&M,6,,,,,,,
