playerId,player,position,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesHandsFumble,gradesOffense,gradesOffensePenalty,gradesPass,gradesRun,gradesRunBlock,jerseyNumber,penalties,playerGameCount,snapCountsPass,snapCountsPassBlock,snapCountsPassRoute,snapCountsRun,snapCountsRunBlock,snapCountsTotal,snapCountsTotalPass,snapCountsTotalRun,team,teamName,gradesPassBlock,gradesPassRoute
156717,Jo Simmons,T,0,,2028,197,,60.4,77.2,,,53.3,79,0,1,0,29,0,0,38,67,29,38,JAMES MAD,JAMES MAD,79.3,
156742,Terrance Carter Jr.,TE,0,,2027,315,66.5,62.1,78.4,,59.7,58,07,0,1,0,4,32,1,21,58,36,22,TEXAS TECH,TEXAS TECH,71.3,62.6
156863,Tucker Kilcrease,QB,0,,2027,318,68.3,39.9,71.8,40.1,54.7,60,10,0,1,10,0,0,3,3,16,10,6,TROY,TROY,,
156865,Tae Meadows,HB,0,,2028,318,71.5,66.7,77.1,,61.8,59,22,0,1,0,27,12,7,5,51,39,12,TROY,TROY,88.4,63.1
156940,Jonathan Brady,WR,0,2026,2026,190,68.4,60.4,77,,,61.3,00,0,1,0,0,19,0,20,39,19,20,INDIANA,INDIANA,,59.9
156971,Holden Staes,TE,0,,2026,190,,55.9,68.8,,,57.1,19,0,1,0,0,2,0,4,6,2,4,INDIANA,INDIANA,,57.6
157008,Ty Simpson,QB,0,2026,2026,103,70.6,49.3,76.2,51.6,50.6,60,15,0,1,45,0,0,3,9,57,45,12,ALABAMA,ALABAMA,,
157072,Gunner Stockton,QB,0,,2027,173,73,77.7,76.9,78.4,64.4,60,14,0,1,33,0,0,11,25,69,33,36,GEORGIA,GEORGIA,,
157074,Earnest Greene III,T,0,,2027,173,,51.2,18.1,,,48.8,71,1,1,0,33,0,0,36,69,33,36,GEORGIA,GEORGIA,75.2,
157080,Oscar Delp,TE,0,2026,2026,173,62.9,48.3,76.5,,,48.3,04,0,1,0,12,12,0,31,55,24,31,GEORGIA,GEORGIA,52.3,54.4
157197,Kage Casey,T,0,2026,2026,120,,75,77.4,,,69.1,77,0,1,0,34,0,0,36,70,34,36,BOISE ST,BOISE ST,83.6,
157318,Haydon Wiginton,WR,0,,2026,315,,60,70,,,60,19,0,1,0,0,0,0,5,5,0,5,TEXAS TECH,TEXAS TECH,,
157336,Sheridan Wilson,C,0,,2027,315,,67.7,10.5,,,65.9,72,1,1,0,39,0,0,37,76,39,37,TEXAS TECH,TEXAS TECH,82.3,
157337,Coy Eakin,WR,0,,2027,315,66.8,70.5,78,,,82.9,03,0,1,0,2,32,0,27,61,34,27,TEXAS TECH,TEXAS TECH,71.9,66.6
157372,CJ Donaldson,HB,0,2026,2026,260,62.9,66.5,71.2,,,60,12,0,1,0,5,6,0,1,12,11,1,OHIO STATE,OHIO STATE,81.7,74
157431,Bruce Mitchell,C,0,,2027,128,,58,79.2,,,59.9,63,0,1,0,33,0,0,26,59,33,26,BYU,BYU,45.8,
157628,Weylin Lapuaho,G,0,,2026,128,,54.3,0,,,52.7,61,1,1,0,32,0,0,21,53,32,21,BYU,BYU,81.6,
157660,Johnny Dickson III,G,0,,2027,251,,58.9,0,,,63.3,54,1,1,0,25,0,0,14,39,25,14,N TEXAS,N TEXAS,67.2,
157740,Caleb Douglas,WR,0,2026,2026,315,61,50.8,80.9,,,55.4,05,0,1,0,0,39,0,32,71,39,32,TEXAS TECH,TEXAS TECH,,50.8
157843,Jake Steele,T,0,,2027,120,,59.1,73.8,,,66.8,68,0,1,0,13,0,0,16,29,13,16,BOISE ST,BOISE ST,28.3,
158004,Davion Carter,G,0,,2026,315,,69.7,79.6,,,66.6,56,0,1,0,39,0,0,37,76,39,37,TEXAS TECH,TEXAS TECH,84.5,
158012,Eric Smith,T,0,,2027,221,,28.7,77.3,,,64.2,51,0,1,0,48,0,0,23,71,48,23,MIAMI OH,MIAMI OH,0,
158015,Drew Terrill,T,0,,2027,221,,43.6,76.8,,,46.8,78,0,1,0,48,0,0,23,71,48,23,MIAMI OH,MIAMI OH,35.9,
158022,Reggie Virgil,WR,0,2026,2026,315,67.1,66.4,77.8,,,61.2,01,0,1,0,0,38,0,30,68,38,30,TEXAS TECH,TEXAS TECH,,66
158096,Jason Llewellyn,TE,0,,2027,315,,60,66,,,60,89,0,1,0,0,0,0,3,3,0,3,TEXAS TECH,TEXAS TECH,,
158159,RJ Todd,LS,0,,2027,347,,60,60,,,60,S46,0,1,0,0,0,0,1,1,0,1,W MICHIGAN,W MICHIGAN,,
158160,Palmer Domschke,K,0,,2027,347,,60,60,,,60,S20,0,1,0,0,0,0,1,1,0,1,W MICHIGAN,W MICHIGAN,,
158229,Hunter Whitenack,G,0,,2027,347,,66.6,80.4,,,67,77,0,1,0,24,0,0,48,72,24,48,W MICHIGAN,W MICHIGAN,51.2,
158307,Chad Schuster,T,0,,2027,347,,55,19.1,,,57.4,76,1,1,0,24,0,0,48,72,24,48,W MICHIGAN,W MICHIGAN,63.9,
158323,Fernando Mendoza,QB,0,2026,2026,190,69.1,91.9,76.2,91.9,62.4,60,15,0,1,28,0,0,2,28,58,28,30,INDIANA,INDIANA,,
158374,Germie Bernard,WR,0,2026,2026,103,66.2,66.1,78,,,59,05,0,1,0,0,43,0,11,54,43,11,ALABAMA,ALABAMA,,66.1
158418,Shadre Hurst,G,0,,2027,319,,76,80.3,,,77.9,56,0,1,0,23,0,0,51,74,23,51,TULANE,TULANE,45.3,
158421,Garrett Mmahat,WR,0,,2027,319,10.3,59.8,73,,,59.4,16,0,1,0,0,7,0,8,15,7,8,TULANE,TULANE,,59.8
