playerId,player,position,targets,interceptionTouchdowns,draftSeason,forcedFumbles,missedTackles,catchRate,teamName,tackles,jerseyNumber,snapCountsOffball,snapCountsBox,sacks,snapCountsPassRush,playerGameCount,eligibleSeason,snapCountsDl,gradesTackle,yards,receptions,hurries,interceptions,snapCountsCoverage,snapCountsDlOverT,snapCountsDlAGap,fumbleRecoveries,gradesRunDefense,snapCountsCorner,hits,penalties,battedPasses,team,stops,declinedPenalties,totalPressures,fumbleRecoveryTouchdowns,longest,snapCountsSlot,missedTackleRate,gradesDefense,yardsPerReception,gradesDefensePenalty,safeties,franchiseId,snapCountsDefense,yardsAfterCatch,snapCountsDlBGap,passBreakUps,qbRatingAgainst,snapCountsRunDefense,tacklesForLoss,assists,gradesPassRushDefense,snapCountsFs,touchdowns,snapCountsDlOutsideT,gradesCoverageDefense
105248,Chris Hill,DI,0,0,,0,0,,MERCER,0,D98,0,0,0,12,1,2025,13,,0,0,0,0,0,2,0,0,60,0,0,0,0,MERCER,0,0,0,0,,0,,57.9,,71.9,0,219,13,0,11,0,0,1,0,0,56.8,0,0,0,
105336,Ken Standley,LB,1,0,,0,1,100,MERCER,3,D15,39,34,0,5,1,2025,2,62.8,6,1,0,0,21,0,0,0,84.2,0,0,0,0,MERCER,3,0,0,0,6,5,12.5,76.6,6,75.1,0,219,41,12,0,0,91.7,15,0,4,55.8,0,0,2,66.9
105353,Ryan Tirrell,LB,1,0,,0,1,0,MONTANA,2,D44,45,43,0,5,1,2025,10,42.9,0,0,0,0,15,0,0,0,54.9,0,0,1,0,MONTANA,2,1,0,0,,2,33.3,55.9,,0,0,232,55,0,0,0,39.6,35,1,0,63.9,0,0,10,64.3
105638,Ryder Meyer,S,2,0,,0,0,100,MONTANA,9,D13,58,36,0,0,1,2025,1,87.4,21,2,0,0,22,0,0,0,72.1,0,0,0,0,MONTANA,2,0,0,0,16,6,0,64.8,10.5,76.8,0,232,59,14,0,0,110.4,37,0,5,,16,0,1,57.4
106258,Will Mostaert,DI,0,0,,0,0,,N DAK ST,0,D91,0,0,0,1,1,2025,1,,0,0,0,0,0,0,0,0,,0,0,0,0,N DAK ST,0,0,0,0,,0,,60,,65.6,0,250,1,0,0,0,0,0,0,0,59.7,0,0,1,
106659,Eli Mostaert,DI,0,0,2025,0,0,,N DAK ST,2,D53,0,0,1,24,1,2025,39,74.9,0,0,1,0,0,5,1,0,62.2,0,0,0,0,N DAK ST,3,0,2,0,,0,0,73.7,,75.4,0,250,39,0,33,0,0,15,1,1,75.8,0,0,0,60
106811,Nick Kubitz,LB,4,0,2025,0,2,100,N DAK ST,5,D36,60,39,0,4,1,2025,3,43.1,18,4,1,0,32,0,0,0,69.1,0,0,0,1,N DAK ST,3,0,1,0,7,19,25,58.3,4.5,76.5,0,250,63,21,0,0,85.4,27,0,1,64.6,1,0,3,51
108068,Andres Lehrmann,ED,0,0,,0,0,,MONTANA,0,D55,0,0,0,4,1,2025,16,,0,0,0,0,0,7,0,0,52,0,0,0,0,MONTANA,0,0,0,0,,0,,50.3,,73.3,0,232,16,0,6,0,0,12,0,0,55.5,0,0,3,
108725,Jalen Goodman,S,3,0,,0,1,33.3,VILLANOVA,4,D04,89,23,0,0,1,2025,0,70.2,7,1,0,0,48,0,0,0,73.4,3,0,0,0,VILLANOVA,1,0,0,0,7,12,10,63,7,78.8,0,334,89,2,0,0,42.4,41,0,5,,51,0,0,57.8
121468,Michael Pleas Jr.,ED,0,0,,0,0,,TENN MARTN,1,D02,4,0,0,19,1,2026,39,73,0,0,1,0,5,0,0,0,67.3,0,0,0,0,TENN MARTN,0,0,1,0,,4,0,64.7,,80.5,0,310,43,0,0,0,0,19,0,0,55.4,0,0,39,63.8
121606,Kaghen Roach,ED,0,0,,0,0,,ABILENE CH,5,D90,0,0,0,29,1,2026,55,78.2,0,0,1,1,0,2,0,0,64.4,0,0,0,1,ABILENE CH,2,0,1,0,,0,0,67.2,,78.5,0,100,55,0,8,0,0,26,0,2,56.3,0,0,45,61.2
121766,Josh Hastings,S,3,0,,0,1,100,TENN MARTN,8,D05,34,20,0,2,1,2026,15,65.5,17,3,0,0,26,0,0,0,61.6,0,0,0,1,TENN MARTN,2,0,0,0,7,13,10,65.4,5.7,77.2,0,310,49,14,0,0,90.3,21,0,1,67.9,1,0,15,64.5
122454,Sean Pelkisson,ED,0,0,,0,1,,RHODE ISLD,0,D22,3,0,0,5,1,2025,13,21.8,0,0,0,0,1,0,0,0,56.9,0,0,0,0,RHODE ISLD,0,0,0,0,,3,100,56.4,,76.8,0,274,16,0,0,0,0,10,0,0,56,0,0,13,60
122509,Mason Chambers,S,1,0,,0,0,0,INCAR WORD,3,D03,49,24,0,2,1,2025,2,82.8,0,0,0,1,30,0,0,0,76.2,0,0,0,0,INCAR WORD,1,0,0,0,,2,0,79.5,,77.7,0,189,51,0,0,0,0,19,0,2,59.6,23,0,2,77.4
122640,Dabari Hawkins,CB,3,0,,0,2,100,TARLETON,3,D05,61,13,0,1,1,2026,3,33.1,31,3,0,0,24,0,0,0,66.9,47,0,0,0,TARLETON,1,0,0,0,13,1,33.3,50.9,10.3,76.4,0,401,64,21,0,0,149.3,39,0,1,60,0,1,3,45.2
123520,Elijah Moffett,S,4,0,,0,0,50,ABILENE CH,5,D07,59,48,0,0,1,2025,3,82.4,39,2,0,0,32,0,0,0,68.5,0,0,0,0,ABILENE CH,2,0,0,0,30,5,0,67.5,19.5,75.9,0,100,62,18,0,1,124,30,0,1,,6,1,3,65
123825,Xavier McIver,DI,0,0,,0,0,,TENN MARTN,0,D40,0,0,0,6,1,2027,11,,0,0,0,0,0,0,9,0,61.6,0,0,0,0,TENN MARTN,0,0,0,0,,0,,61.7,,72.9,0,310,11,0,2,0,0,5,0,0,59.2,0,0,0,
125282,Oscar Benson,CB,2,0,,0,0,50,N DAK ST,1,D11,18,1,0,0,1,2025,0,78,2,1,0,0,9,0,0,0,56.5,1,0,0,0,N DAK ST,1,0,0,0,2,16,0,62.1,2,74.6,0,250,18,3,0,0,56.3,9,0,1,,0,0,0,63.9
125298,TK Marshall,HB,0,0,,0,0,,N DAK ST,0,28,1,0,0,0,1,2025,0,,0,0,0,0,0,0,0,0,60,0,0,0,0,N DAK ST,0,0,0,0,,0,,60,,60,0,250,1,0,0,0,0,1,0,0,,0,0,0,
125303,Loshiaka Roques,ED,0,0,,0,1,,N DAK ST,2,D56,0,0,0,22,1,2025,42,36.7,0,0,1,0,3,0,0,0,52.9,0,1,0,0,N DAK ST,0,0,2,0,,0,25,60.2,,78.6,0,250,42,0,0,0,0,17,0,1,64.6,0,0,42,62.4
125941,Tyson Williams,CB,7,0,,0,0,71.4,ABILENE CH,4,D04,59,5,0,0,1,2028,0,79.5,29,5,0,0,32,0,0,0,72.9,52,0,1,0,ABILENE CH,2,0,0,0,16,2,0,72.8,5.8,76.5,0,100,59,23,0,2,118.5,27,1,0,,0,1,0,70.5
128218,Riley Wilson,ED,0,0,2026,0,1,,MONTANA,4,D42,23,23,0,13,1,2026,31,60.7,0,0,0,0,8,0,0,0,69.4,0,0,1,0,MONTANA,1,0,0,0,,0,14.3,57,,0,0,232,54,0,2,0,0,33,0,2,51.1,0,0,29,53.8
128255,Mathias Bertram,S,2,0,,0,0,50,IDAHO,1,D31,33,2,0,1,1,2025,0,74.8,9,1,1,0,16,0,0,0,70.1,0,0,0,0,IDAHO,1,0,1,0,9,31,0,69.5,9,78.5,0,185,33,3,0,1,62.5,16,1,0,58.4,0,0,0,67.9
