playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesFgepDefense,gradesFgepOffense,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesKickReturn,gradesPuntReturn,gradesPunter,gradesFgepKicker,gradesKickoffKicker,gradesLongSnap
164785,Eddie Kasper,WR,0,0,,2027,188,,,60,63.6,13,0,0,1,0,0,0,0,0,4,0,ILL STATE,ILL STATE,4,,63.7,,,,
164823,Tysen Boze,WR,0,0,,2027,291,,,60.1,65.6,85,0,0,1,0,0,2,6,0,0,0,S DAKOTA,S DAKOTA,8,,,,,,
164827,Joe Cotton,T,0,0,,2027,291,,61.2,61.9,68.7,71,0,0,1,7,0,0,0,0,0,0,S DAKOTA,S DAKOTA,7,,,,,,
164828,Chris Dixon,DI,0,0,,2027,291,59.2,,59.3,63.6,D50,0,0,1,0,4,0,0,0,0,0,S DAKOTA,S DAKOTA,4,,,,,,
164829,Tyler Ebel,P,0,0,,2027,291,,60,60.8,63.7,S32,0,0,1,7,0,0,0,2,0,0,S DAKOTA,S DAKOTA,9,,,60,,,
164831,Mi'Quise Humphrey-Grace,ED,0,0,,2028,291,59.5,,59.7,63.9,D90,0,0,1,0,5,0,0,0,0,0,S DAKOTA,S DAKOTA,5,,,,,,
164853,David Alpers III,TE,0,0,,2027,292,,60,61.3,61.5,83,0,0,1,6,0,0,0,0,0,0,S DAK ST,S DAK ST,6,,,,,,
164854,Jalen Lee,CB,0,0,,2027,292,,,68.1,66.9,D06,0,0,1,0,0,6,2,0,0,1,S DAK ST,S DAK ST,8,,,,,,
164868,Dontay Johnson,S,0,0,,2028,292,,,68.2,69.1,D03,0,0,1,0,0,6,2,0,5,1,S DAK ST,S DAK ST,13,,,,,,
164871,Bryce Johnson,LB,0,0,,2028,292,,,62.9,68.4,D33,0,0,1,0,0,6,2,3,5,0,S DAK ST,S DAK ST,16,,,,,,
164878,Joe Ollman,LB,0,0,,2028,292,,,69.7,68.2,D11,0,0,1,0,0,6,4,3,5,2,S DAK ST,S DAK ST,18,,,,,,
164884,Noah Thompson,S,0,0,,2028,292,,,61.2,64.6,D27,0,0,1,0,0,2,0,0,2,0,S DAK ST,S DAK ST,4,,,,,,
164938,Seth Glatz,HB,0,0,,2027,188,,,59.8,66.3,21,0,0,1,0,0,0,7,0,0,0,ILL STATE,ILL STATE,7,,,,,,
165033,Thomas Buxton,G,0,0,,2026,274,,60,59.8,63.2,65,0,0,1,2,0,0,0,1,0,0,RHODE ISLD,RHODE ISLD,3,,,,,,
165166,Cam Robertson,S,0,0,,2027,310,,,62.9,71.8,D28,0,0,1,0,0,4,8,3,5,0,TENN MARTN,TENN MARTN,20,,,,,,
165167,AJ Robinson Jr.,S,0,0,,2027,310,,,60.8,65.6,D26,0,0,1,0,0,4,8,0,0,0,TENN MARTN,TENN MARTN,12,,,,,,
165363,Wade Abrams,LB,0,0,,2027,291,,,61.8,70.9,D49,0,0,1,0,0,7,6,2,0,0,S DAKOTA,S DAKOTA,15,,,,,,
165683,Rovaughn Banks Jr.,HB,0,0,,2027,100,,,59.9,65.3,03,0,0,1,0,0,0,8,0,0,0,ABILENE CH,ABILENE CH,8,58.9,,,,,
165688,Joziah Fogle,G,0,0,,2026,100,,60.3,61.7,66.8,76,0,0,1,5,0,0,0,0,0,0,ABILENE CH,ABILENE CH,5,,,,,,
165691,Chidubem Lebechi,TE,0,0,,2027,100,,60,45.8,27.1,86,0,1,1,5,0,6,10,3,1,0,ABILENE CH,ABILENE CH,25,,,,,,
165696,David Oke,DI,0,0,,2027,100,58.5,,59,66.3,D98,0,0,1,0,9,0,0,0,2,0,ABILENE CH,ABILENE CH,11,,,,,,
165783,Preston Yarber,T,0,0,,2027,310,,60,60.4,62.5,78,0,0,1,3,0,0,0,0,0,0,TENN MARTN,TENN MARTN,3,,,,,,
168142,Rodrick Weaver,WR,0,0,,2026,401,,,61.8,67.5,87,0,0,1,0,0,6,0,0,0,0,TARLETON,TARLETON,6,,,,,,
168412,Blake Cotton,CB,0,0,2026,2026,322,60,,60,63.5,D12,0,0,1,0,1,0,0,0,0,0,UC DAVIS,UC DAVIS,1,,,,,,
169228,Austin DeArmond,G,0,0,,2026,189,,60,60.6,65.6,62,0,0,1,3,0,0,0,0,0,0,INCAR WORD,INCAR WORD,3,,,,,,
169499,Jayden Staggers,S,0,0,,2026,189,,,62.4,67.7,D28,0,0,1,0,0,0,3,0,7,0,INCAR WORD,INCAR WORD,10,,,,,,
169520,Keenon Pitts,CB,0,0,,2025,189,,,64,71,D36,0,0,1,0,0,0,3,0,7,0,INCAR WORD,INCAR WORD,10,,,,,,
170043,Apollos Cook,WR,0,0,,2028,219,,,59.3,69.1,02,0,0,1,0,0,0,2,9,0,0,MERCER,MERCER,11,,,,,,
170509,Justin Duff,LS,0,0,,2026,100,,,63.9,63,S50,0,0,1,0,0,0,0,3,0,0,ABILENE CH,ABILENE CH,3,,,,,,80.2
170697,Zac Crews,ED,0,0,,2027,233,,,62,69.9,D36,0,0,1,0,0,0,0,5,7,0,MONTANA ST,MONTANA ST,12,,,,,,
170698,Zachary Dodson-Greene,WR,0,0,,2027,233,,,60.1,64,16,0,0,1,0,0,0,3,0,0,0,MONTANA ST,MONTANA ST,3,,,,,,
170699,Jon Johnson,CB,0,0,,2026,233,60,,65.1,69.9,D04,0,0,1,0,2,0,0,5,8,0,MONTANA ST,MONTANA ST,15,,,,,,
170701,Myles Sansted,K,0,0,,2027,233,,,60,64.1,S39,0,0,1,7,0,0,0,0,0,0,MONTANA ST,MONTANA ST,7,,,,65.9,,
170702,Dominic Solano,ED,0,0,,2028,233,59.8,,60,62.7,D58,0,0,1,0,1,0,0,0,0,0,MONTANA ST,MONTANA ST,1,,,,,,
170706,Taki Uluilakepa,S,0,0,,2028,233,60,,60,61.1,D17,0,0,1,0,1,0,0,0,0,0,MONTANA ST,MONTANA ST,1,,,,,,
170707,Zac Waible,LB,0,0,,2027,233,,,62.3,64.9,D49,0,0,1,0,0,8,0,0,0,0,MONTANA ST,MONTANA ST,8,,,,,,
170918,Christian Caballero,LB,0,0,,2029,334,,,60.1,66.7,D56,0,0,1,0,0,0,4,0,0,0,VILLANOVA,VILLANOVA,4,,,,,,
170920,Zahmir Dawud,CB,0,0,,2028,334,60,,61,67.4,D37,0,0,1,0,3,0,0,0,3,0,VILLANOVA,VILLANOVA,6,,,,,,
170923,Jason Hall Jr.,TE,0,0,,2028,334,,,61.9,70.1,D40,0,0,1,0,0,3,4,0,4,0,VILLANOVA,VILLANOVA,11,,,,,,
170926,Ja'briel Mace,HB,0,0,,2029,334,,,60,61.6,30,0,0,1,0,0,0,2,0,0,0,VILLANOVA,VILLANOVA,2,59.6,,,,,
170927,Capri Martin,ED,0,0,,2028,334,59.7,,60.4,64.3,D93,0,0,1,0,2,0,0,0,1,0,VILLANOVA,VILLANOVA,3,,,,,,
170928,Chris McCullers,G,0,0,,2029,334,,60,60.2,63.6,76,0,0,1,2,0,0,0,0,0,0,VILLANOVA,VILLANOVA,2,,,,,,
171413,Amir Abdullah,ED,0,0,,2025,188,60,,61.2,64.2,D22,0,0,1,0,6,0,0,0,2,0,ILL STATE,ILL STATE,8,,,,,,
171415,CJ Hodgdon,S,0,0,,2025,188,,,60.7,66.2,D04,0,0,1,0,0,3,7,0,0,0,ILL STATE,ILL STATE,10,,,,,,
171576,Talib Salahuddin,ED,0,0,,2026,189,59.8,,63.8,66.2,D09,0,0,1,0,1,4,0,0,7,0,INCAR WORD,INCAR WORD,12,,,,,,
171837,Celeycan Hill,CB,0,0,,2026,310,59.7,,60.9,68,D23,0,0,1,0,6,0,0,0,4,0,TENN MARTN,TENN MARTN,10,,,,,,
171840,Davonte Murray,ED,0,0,,2026,310,59,,59.2,64.1,D10,0,0,1,0,4,0,0,0,0,0,TENN MARTN,TENN MARTN,4,,,,,,
171842,Jacob Stevenson,S,0,0,,2026,310,59.8,,68.6,67,D21,0,0,1,0,7,4,0,0,5,1,TENN MARTN,TENN MARTN,16,,,,,,
171935,Jake Mason,DI,0,0,,2028,232,59.6,,59.6,63.9,D57,0,0,1,0,1,0,6,0,0,0,MONTANA,MONTANA,7,,,,,,
172074,Broc Bender,ED,0,0,,2028,205,59.4,,59.5,63.4,D39,0,0,1,0,4,0,0,0,0,0,LEHIGH,LEHIGH,4,,,,,,
172075,Walker Blair,CB,0,0,,2028,205,,,61.6,68.7,D42,0,0,1,0,0,1,6,0,3,0,LEHIGH,LEHIGH,10,,,,,,
172081,Austin Huff,G,0,0,,2028,205,,60,60.4,63.7,67,0,0,1,3,0,0,0,0,0,0,LEHIGH,LEHIGH,3,,,,,,
172085,Joseph Marranca,TE,0,0,,2028,205,,60,49,66.6,86,1,0,1,3,0,0,6,4,0,0,LEHIGH,LEHIGH,13,,,,,,
172087,Jadin Nelson,DI,0,0,,2028,205,59.3,,59.5,62.9,D54,0,0,1,0,2,0,0,0,0,0,LEHIGH,LEHIGH,2,,,,,,
172089,William Parton,LB,0,0,,2028,205,60.1,,60.4,64.8,D35,0,0,1,0,4,0,0,0,0,0,LEHIGH,LEHIGH,4,,,,,,
172090,Davis Rice,CB,0,0,,2028,205,,,60.7,67,D27,0,0,1,0,0,3,6,0,3,0,LEHIGH,LEHIGH,12,,,,,,
172091,Aidan Singleton,CB,0,0,,2028,205,60,,60.2,65,D05,0,0,1,0,3,0,0,0,0,0,LEHIGH,LEHIGH,3,,,,,,
172092,Jake Stalsitz,TE,0,0,,2027,205,,60,60.5,60.9,87,0,0,1,3,0,0,0,0,0,0,LEHIGH,LEHIGH,3,,,,,,
172093,CJ Wood,CB,0,0,,2026,205,,,62,69,D48,0,0,1,0,0,3,6,1,3,0,LEHIGH,LEHIGH,13,,,,,,
172672,Samuel Albee,TE,0,0,,2028,219,,60,60.1,64,86,0,0,1,2,0,0,0,0,0,0,MERCER,MERCER,2,,,,,,
172674,Amarii Atchison,T,0,0,,2028,219,,60,60.6,65.6,74,0,0,1,3,0,0,0,0,0,0,MERCER,MERCER,3,,,,,,
172677,Ty Everson,TE,0,0,,2027,219,,60,60,60.7,88,0,0,1,2,0,0,0,0,0,0,MERCER,MERCER,2,,,,,,
172678,Avery Ferris,G,0,0,,2030,219,,60,61,61.8,61,0,0,1,3,0,0,0,0,0,0,MERCER,MERCER,3,,,,,,
172679,Julian Fox,LB,0,0,,2029,219,,,65.2,70.4,D41,0,0,1,0,0,4,2,9,5,1,MERCER,MERCER,20,,,,,,
172681,Reice Griffith,K,0,0,,2028,219,,,60,62.9,S93,0,0,1,3,0,0,0,0,0,0,MERCER,MERCER,3,,,,62.5,,
172683,Brayden Manley,ED,0,0,,2028,219,59.9,,62.5,78.6,D00,0,0,1,0,2,0,0,0,3,0,MERCER,MERCER,5,,,,,,
172686,Scooter Risper,WR,0,0,,2025,219,,,62.6,68.5,81,0,0,1,0,0,0,0,0,5,0,MERCER,MERCER,5,,,,,,
172687,Demetri Robinson,G,0,0,,2026,274,,60,59.4,65.7,52,0,0,1,2,0,0,0,1,0,0,RHODE ISLD,RHODE ISLD,3,,,,,,
172688,Brayden Smith,WR,0,0,,2028,219,,,60.2,64.4,21,0,0,1,0,0,0,2,0,8,0,MERCER,MERCER,10,59.9,64.4,,,,
172689,Donovan Watkins,CB,0,0,,2029,219,59.9,,62.6,78,D04,0,0,1,0,2,0,0,0,4,0,MERCER,MERCER,6,,,,,,
172925,Jerry Lawson,DI,0,0,,2028,100,59.4,,60.4,66,D95,0,0,1,0,9,0,0,0,2,0,ABILENE CH,ABILENE CH,11,,,,,,
172926,Colter Lynch,G,0,0,,2028,100,,60,61.2,63.1,68,0,0,1,5,0,0,0,3,0,0,ABILENE CH,ABILENE CH,8,,,,,,
172929,Luke Moffitt,WR,0,0,,2028,100,,,60,64.1,16,0,0,1,0,0,0,0,0,1,0,ABILENE CH,ABILENE CH,1,,,,,,
172933,DeAngelo Ponder,CB,0,0,,2028,100,59.9,,60.8,65.1,D12,0,0,1,0,1,0,0,0,2,0,ABILENE CH,ABILENE CH,3,,,,,,
172941,D'Arius Carmouche,CB,0,0,,2028,189,,,61.4,72.5,D18,0,0,1,0,0,4,0,7,7,0,INCAR WORD,INCAR WORD,18,,,,,,
172946,Bryce Felt,LS,0,0,,2026,189,,60,66.5,64,S22,0,0,1,3,0,0,0,7,0,0,INCAR WORD,INCAR WORD,10,,,,,,83.1
172948,Tylan Foster,LB,0,0,,2026,189,,,60,62.4,D11,0,0,1,0,0,1,0,0,0,0,INCAR WORD,INCAR WORD,1,,,,,,
