playerId,player,position,assists,declinedPenalties,draftSeason,eligibleSeason,franchiseId,gradesMiscSt,gradesSpecialTeamsPenalty,jerseyNumber,missedTackles,penalties,playerGameCount,snapCountsFieldGoal,snapCountsFieldGoalBlocking,snapCountsKickoff,snapCountsKickoffReturn,snapCountsPuntCoverage,snapCountsPuntReturn,tackles,team,teamName,totalSnaps,gradesFgepDefense,gradesFgepOffense,gradesKickReturn,gradesFgepKicker,gradesKickoffKicker,gradesLongSnap,gradesPunter,gradesPuntReturn
201431,Colby Frokjer,P,0,0,,2030,233,61.3,68.1,S30,0,0,1,8,0,9,0,1,0,0,MONTANA ST,MONTANA ST,18,,60,,,73,,60,
201434,Brody Johnson,LS,0,0,,2030,233,64.1,62.5,S40,0,0,1,8,0,0,0,1,0,0,MONTANA ST,MONTANA ST,9,,66.3,,,,74.3,,
201443,Tim Thomas II,S,0,0,,2030,233,62.6,70.2,D18,0,0,1,0,0,9,0,0,3,0,MONTANA ST,MONTANA ST,12,,,,,,,,
201916,Drew Cofield,CB,0,0,,2030,322,60.4,66.6,D11,0,0,1,0,7,0,0,0,0,0,UC DAVIS,UC DAVIS,7,59.8,,,,,,,
201922,Jaden Few,ED,0,0,,2030,322,59.7,64.3,D96,0,0,1,0,5,0,0,0,0,0,UC DAVIS,UC DAVIS,5,59.5,,,,,,,
201926,Tyler Hennessy,WR,0,0,,2030,322,61.4,64.1,13,0,0,1,0,0,4,0,0,0,0,UC DAVIS,UC DAVIS,4,,,,,,,,
201928,Tyler Hughes,K,0,0,,2030,322,60,64.2,S30,0,0,1,0,0,1,0,0,0,0,UC DAVIS,UC DAVIS,1,,,,,60,,,
201934,Cory McEnroe,LB,0,0,,2030,322,59.9,65.7,D45,0,0,1,0,0,0,7,0,0,0,UC DAVIS,UC DAVIS,7,,,,,,,,
201936,Scott Nixon,WR,0,0,,2028,322,59.7,63.8,24,0,0,1,0,0,0,7,0,1,0,UC DAVIS,UC DAVIS,8,,,60,,,,,
201938,Julius Ray,ED,0,0,,2028,322,59.9,63.5,D56,0,0,1,0,2,0,0,0,0,0,UC DAVIS,UC DAVIS,2,59.7,,,,,,,
201939,Ty Richardson,CB,0,0,,2028,322,61.7,67,D03,0,0,1,0,7,4,0,0,0,0,UC DAVIS,UC DAVIS,11,60.2,,,,,,,
201942,Brayden Rosa,S,0,0,,2029,322,61.6,66.1,D37,0,0,1,0,0,4,0,0,1,0,UC DAVIS,UC DAVIS,5,,,,,,,,
202250,Carter Bowen,G,0,0,,2028,232,62.4,67.9,77,0,0,1,8,0,0,0,0,0,0,MONTANA,MONTANA,8,,63.4,,,,,,
202259,Hunter Peck,ED,0,0,,2026,232,61,81.4,D56,0,0,1,0,1,0,1,0,0,0,MONTANA,MONTANA,2,59.8,,,,,,,
202261,Brady Beaner,CB,0,0,,2030,232,61.5,65.9,D25,0,0,1,0,0,9,0,0,0,0,MONTANA,MONTANA,9,,,,,,,,
202262,Brock Beaner,S,0,0,,2030,232,67.7,65.3,D13,0,0,1,0,0,9,0,0,0,1,MONTANA,MONTANA,9,,,,,,,,
202264,Colton Lentz,LB,0,0,,2030,232,67.8,69.4,D40,0,0,1,0,0,9,3,0,4,1,MONTANA,MONTANA,16,,,,,,,,
202267,Hashim Jones,HB,0,0,,2030,232,67.3,65,28,0,0,1,0,0,9,0,0,0,1,MONTANA,MONTANA,9,,,,,,,,
202519,JK Moore,CB,0,0,,2026,301,61.8,70.2,D18,0,0,1,0,2,5,8,0,0,0,STF AUSTIN,STF AUSTIN,15,60,,,,,,,
202530,Malachi Williams,LB,0,0,,2028,301,60.6,65.4,D33,0,0,1,0,8,0,0,0,0,0,STF AUSTIN,STF AUSTIN,8,60.1,,,,,,,
202539,Sema'J Avery,LB,0,0,,2030,301,64.7,64.6,D36,0,0,1,0,0,5,0,0,0,0,STF AUSTIN,STF AUSTIN,5,,,,,,,,
202544,Kyran Moore,S,0,0,,2030,301,60.8,63.3,D45,0,0,1,0,0,3,0,0,0,0,STF AUSTIN,STF AUSTIN,3,,,,,,,,
202552,Lachie Pozzobon,P,0,0,,2030,301,60,66.2,S22,0,0,1,0,0,0,0,3,0,0,STF AUSTIN,STF AUSTIN,3,,,,,,,61.7,
203136,Caden Frey,TE,0,0,,2028,291,60,61.3,87,0,0,1,2,0,0,0,0,0,0,S DAKOTA,S DAKOTA,2,,60,,,,,,
203139,Brendon Crispe,T,0,0,,2029,291,60,62.1,67,0,0,1,2,0,0,0,0,0,0,S DAKOTA,S DAKOTA,2,,60,,,,,,
203142,Mason Cowgill,TE,0,0,,2029,291,60,64.5,81,0,0,1,0,0,0,9,0,0,0,S DAKOTA,S DAKOTA,9,,,59.9,,,,,
203144,RJ Stewart,CB,0,0,,2029,291,60.9,66.7,D25,0,0,1,0,8,0,0,0,0,0,S DAKOTA,S DAKOTA,8,60.1,,,,,,,
203145,Beau Ryan,LB,0,0,,2029,291,60.2,68.8,D34,0,0,1,0,0,4,9,4,2,0,S DAKOTA,S DAKOTA,19,,,,,,,,
203146,Ty Morris,S,0,0,,2029,291,61.9,66.3,D06,0,0,1,0,0,4,0,0,2,0,S DAKOTA,S DAKOTA,6,,,,,,,,
